system,mean_macro_f1,mean_balanced_accuracy,mean_accuracy,mean_macro_auc_ovr,mean_recall_no_fall,mean_recall_rare_fall,mean_recall_recurrent_fall
direct,0.5132044517291475,0.5501010933968603,0.6240384615384615,0.7525213278009402,0.7098130841121495,0.3838235294117647,0.5566666666666666
two_stage,0.509801320677884,0.538308441756765,0.6358974358974359,0.7474651118696991,0.7425233644859813,0.350735294117647,0.5216666666666667
