sensitivity_id,system,mean_macro_f1,mean_weighted_f1,mean_accuracy,mean_balanced_accuracy,mean_macro_auc_ovr,mean_recall_no_fall,mean_recall_rare_fall,mean_recall_recurrent_fall,sd_macro_f1,sd_weighted_f1,sd_accuracy,sd_balanced_accuracy,sd_macro_auc_ovr,sd_recall_no_fall,sd_recall_rare_fall,sd_recall_recurrent_fall,mean_difference,ci95_low,ci95_high
PRIMARY_NOTEBOOK_07,direct,0.5132044517291475,0.6416176112821296,0.6240384615384615,0.5501010933968603,0.7525213278009402,0.7098130841121495,0.3838235294117647,0.5566666666666666,0.0193948592903898,0.0154987099613724,0.0219880106310018,0.0305358711000218,0.0203391803192313,0.0449207448135939,0.0560288124749565,0.1015090812058283,,,
PRIMARY_NOTEBOOK_07,two_stage,0.509801320677884,0.6456011049700436,0.6358974358974359,0.538308441756765,0.7474651118696991,0.7425233644859813,0.350735294117647,0.5216666666666667,0.0188899159799709,0.0154520902960356,0.0201479441107788,0.0358229129517182,0.0296079646261792,0.0377167849319207,0.0683592540633605,0.1586769125395986,,,
S01_101_FLAGS,direct,0.513875342619119,0.6421786717791235,0.625,0.5483472298576751,0.751650005752596,0.7121495327102804,0.3845588235294117,0.5483333333333333,0.0204007550774705,0.0164086168065705,0.0218622440476685,0.0290991471662118,0.0211038460103764,0.0426772726488767,0.0548741959500928,0.0970169093599377,0.0006708908899715,-0.0172388699442961,0.0185806517242392
S01_101_FLAGS,two_stage,0.5081765473335815,0.6454030835942774,0.6349358974358974,0.5367905137132735,0.7472999919188725,0.7404205607476635,0.3566176470588235,0.5133333333333333,0.025487424115819,0.0163946179358803,0.0194793870704612,0.0440982722146905,0.0277617927799588,0.0373054713780708,0.079247479417267,0.1605545943838972,-0.0016247733443025,-0.0296459953201502,0.0263964486315452
S02_ON_OFF,direct,0.5059944223745354,0.6378486434356361,0.6216346153846154,0.5409790177753344,0.7468997709687819,0.7130841121495327,0.3698529411764706,0.5399999999999999,0.022027839771363,0.0182856142720584,0.0223386895489194,0.0333019123770082,0.020841320434735,0.0410857063774792,0.0561049420618733,0.1111345004621987,-0.007210029354612,-0.0393342822512217,0.0249142235419976
S02_ON_OFF,two_stage,0.502580460598016,0.6409324454352358,0.632051282051282,0.5317338586524952,0.7411847236071095,0.7408878504672897,0.3426470588235294,0.5116666666666666,0.0186483341395332,0.0133426493186765,0.0169471876663434,0.0379626593824257,0.0285509041605723,0.0380376490598383,0.0864236093187389,0.1644679531165241,-0.007220860079868,-0.0322892528184809,0.0178475326587449
S03_COHORT_1043,direct,0.518413542556485,0.6429929907771499,0.6262820512820513,0.5548935617860852,0.7557117335971743,0.7105140186915888,0.3875,0.5666666666666667,0.0304378239594461,0.0244475447519021,0.0311686846475912,0.0386966621898926,0.0218672050227051,0.0490677628092004,0.0571103067983089,0.1054092553389459,0.0052090908273374,-0.0250270152001824,0.0354451968548574
S03_COHORT_1043,two_stage,0.5097251412885473,0.6467936516827403,0.6365384615384615,0.5386918942031642,0.7492532632941431,0.7420560747663552,0.3573529411764706,0.5166666666666667,0.0215904070297327,0.0194228932176866,0.0247482916665608,0.0377506889628994,0.0275789416215582,0.0401577354335207,0.0671539437269089,0.1624015671286701,-7.617938933677238e-05,-0.0211604170195224,0.0210080582408488
S04_REVISION_PREPROCESSING,direct,0.5215914189951146,0.6467694765425085,0.6306089743589743,0.5589310365890905,0.7555352625362264,0.7154205607476636,0.3897058823529412,0.5716666666666667,0.0290114889437585,0.0213372381910016,0.0281513066104869,0.0391874296207665,0.0182182744175641,0.044224576814722,0.0624829242745321,0.1234376040972246,0.0083869672659671,-0.0209934748716111,0.0377674094035454
S04_REVISION_PREPROCESSING,two_stage,0.5172711196168398,0.6534539005250202,0.6442307692307693,0.5474221183800623,0.7511337350311336,0.749766355140187,0.3625,0.53,0.0268519397090242,0.019041606787089,0.0233220969222619,0.0414376833255455,0.0259052506355662,0.0375204991374587,0.0654674782779534,0.1581693518341942,0.0074697989389557,-0.0191367610432235,0.034076358921135
S05_CONSTIPATION_LATEST,direct,0.5091733213373987,0.6392431149141412,0.6224358974358974,0.5449986256184717,0.7489528436262178,0.7130841121495327,0.3669117647058823,0.5549999999999999,0.0247633621540769,0.0218264384083516,0.0277591722873308,0.0339813538227817,0.0203696862581228,0.0451631407545452,0.0633827210810137,0.0998683343734454,-0.0040311303917487,-0.0301032114184498,0.0220409506349522
S05_CONSTIPATION_LATEST,two_stage,0.5094437931908888,0.6457228660948944,0.635576923076923,0.5392752428074032,0.7459899491969748,0.741355140186916,0.3514705882352941,0.525,0.0254155470241281,0.0195747406225577,0.0246102706394875,0.041494655657064,0.0289633363693038,0.0394554450478551,0.0746661360345724,0.1559258333217303,-0.0003575274869951,-0.0236129698444908,0.0228979148705004
