metric,mean_direct_minus_two_stage,ci95_low,ci95_high,corrected_resampled_p_value
macro_f1,0.0034031310512634,-0.0337996035976077,0.0406058657001346,0.8501964405912824
balanced_accuracy,0.0117926516400952,-0.0449976050301558,0.0685829083103464,0.6687327901631003
accuracy,-0.0118589743589743,-0.0384587571787935,0.0147408084608448,0.3624592436292951
recall_no_fall,-0.0327102803738317,-0.0895737410639253,0.0241531803162617,0.2433767295226863
recall_rare_fall,0.0330882352941176,-0.0528858467331141,0.1190623173213494,0.430481810793854
recall_recurrent_fall,0.035,-0.1712447934438677,0.2412447934438677,0.7263606223207036
