split_seed,target,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds,retained_rank
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,catboost,native,0.5422846961041718,0.02237915683167144,0.45381642512077286,0.5812835543943933,0.6326923076923077,46.8,26.0,0.20837815020131525,5,1
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,0.5229439687101841,0.014040263667305443,0.44502415458937195,0.5681021249055542,0.6211538461538462,29.0,20.0,0.41580695000084233,5,2
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,0.6831118615642269,0.013069020220724292,0.6495104895104895,0.6955619028858465,0.7125,29.0,20.0,0.2785494251991622,5,1
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,hist_gradient_boosting,native,0.6900814376075382,0.03647508596253329,0.6462470862470863,0.700268229423159,0.7201923076923077,29.0,20.0,0.5710318916004326,5,2
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,random_forest,unscaled_dense,0.6858937335615878,0.057414521725521625,0.7714009661835749,0.6926052449965493,0.7227972027972027,25.8,13.0,0.22203002500100405,5,1
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,extra_trees,unscaled_dense,0.6944454655708248,0.054217114968316486,0.7714009661835749,0.7026052449965493,0.728904428904429,25.8,13.0,0.19787913279942582,5,2
