split_seed,target,inner_validation_fold,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,training_patients,validation_patients,selected_columns,fit_seconds,baseline_macro_f1,baseline_priority_recall,macro_f1,balanced_accuracy,accuracy,recall_class_0,recall_class_1,recall_class_2,priority_recall,delta_macro_f1,delta_priority_recall
42,direct,0,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.07529570900078397,0.5575581346769275,0.28888888888888886,0.5429439553807412,0.5930328930328931,0.6730769230769231,0.7902097902097902,0.28888888888888886,0.7,0.28888888888888886,-0.014614179296186247,0.0
42,direct,0,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,832,208,48,0.07238045900157886,0.5575581346769275,0.28888888888888886,0.5165900330992347,0.5712250712250712,0.6490384615384616,0.7692307692307693,0.24444444444444444,0.7,0.24444444444444444,-0.04096810157769282,-0.044444444444444425
42,direct,0,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,832,208,48,0.0727720840004622,0.5575581346769275,0.28888888888888886,0.5094411665226052,0.5665630665630665,0.6394230769230769,0.7552447552447552,0.24444444444444444,0.7,0.24444444444444444,-0.048116968154322315,-0.044444444444444425
42,direct,0,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.0747813749985653,0.5575581346769275,0.28888888888888886,0.5166990217924992,0.5716394716394716,0.6394230769230769,0.7482517482517482,0.26666666666666666,0.7,0.26666666666666666,-0.04085911288442834,-0.0222222222222222
42,direct,0,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,832,208,46,0.07749783300096169,0.5575581346769275,0.28888888888888886,0.5230732655255106,0.5832297332297333,0.6442307692307693,0.7552447552447552,0.24444444444444444,0.75,0.24444444444444444,-0.03448486915141691,-0.044444444444444425
42,direct,0,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,832,208,47,0.07376595799723873,0.5575581346769275,0.28888888888888886,0.52304049093168,0.5883061383061383,0.6442307692307693,0.7482517482517482,0.26666666666666666,0.75,0.26666666666666666,-0.03451764374524746,-0.0222222222222222
42,direct,0,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,832,208,47,0.07458825000139768,0.5575581346769275,0.28888888888888886,0.52304049093168,0.5883061383061383,0.6442307692307693,0.7482517482517482,0.26666666666666666,0.75,0.26666666666666666,-0.03451764374524746,-0.0222222222222222
42,direct,1,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.07697687499967287,0.5150769644417558,0.4,0.5007195645493517,0.5612924112924113,0.6057692307692307,0.6783216783216783,0.35555555555555557,0.65,0.35555555555555557,-0.014357399892404032,-0.04444444444444445
42,direct,1,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,832,208,48,0.07638137499816366,0.5150769644417558,0.4,0.49895361199709026,0.5612924112924113,0.6057692307692307,0.6783216783216783,0.35555555555555557,0.65,0.35555555555555557,-0.016123352444665506,-0.04444444444444445
42,direct,1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,832,208,48,0.07461754200267023,0.5150769644417558,0.4,0.4880707989909204,0.5515540015540016,0.5961538461538461,0.6713286713286714,0.3333333333333333,0.65,0.3333333333333333,-0.027006165450835395,-0.06666666666666671
