split_seed,target,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,catboost,native,0.5422846961041718,0.02237915683167144,0.45381642512077286,0.5812835543943933,0.6326923076923077,46.8,26.0,0.20837815020131525,5
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,extra_trees,unscaled_dense,0.5178537229685598,0.025101763869219706,0.33971014492753626,0.5711799610881056,0.6307692307692307,46.8,26.0,0.17375254980070162,5
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,hist_gradient_boosting,native,0.5131656965646131,0.046449093256109124,0.3696618357487923,0.5189880995147376,0.6490384615384616,46.8,26.0,1.3194792997994227,5
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,lightgbm,native,0.501521229453762,0.03685439681916876,0.3084057971014492,0.4929704180285932,0.6711538461538462,46.8,26.0,1.024635583400959,5
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,linear_svc,scaled_dense,0.4814521502184417,0.03881656606952852,0.24705314009661833,0.4969490934095955,0.6490384615384615,46.8,26.0,0.0477712585990957,5
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,logistic,scaled_dense,0.49718659494267825,0.027032301939292694,0.3882125603864734,0.5395423272153217,0.6009615384615385,46.8,26.0,0.11961508320018761,5
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,random_forest,unscaled_dense,0.5276452771757326,0.027510006957538292,0.3658937198067633,0.5618023098672211,0.6336538461538461,46.8,26.0,0.26569389180076536,5
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,rbf_svc,scaled_dense,0.5038973463107924,0.012422550447293134,0.48483091787439603,0.5338289167682921,0.6076923076923076,46.8,26.0,0.08365249980124641,5
42,direct,SEL_05,raw__none__all,selector_configuration,none,all,,raw,xgboost,native,0.479245377986312,0.032663841612483556,0.35265700483091783,0.5106792393381493,0.5932692307692308,46.8,26.0,0.3435942502001126,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,0.5229439687101841,0.014040263667305443,0.44502415458937195,0.5681021249055542,0.6211538461538462,29.0,20.0,0.41580695000084233,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,0.5133100872459602,0.009234740266872323,0.343671497584541,0.5660525562301435,0.6240384615384615,29.0,20.0,0.3928834833997825,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,hist_gradient_boosting,native,0.5204524322393616,0.03281557516605283,0.37478260869565216,0.5302790548228392,0.6461538461538462,29.0,20.0,1.5080643415996746,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,lightgbm,native,0.5067973572926616,0.060557355957565354,0.3041545893719807,0.5045406431811821,0.6615384615384615,29.0,20.0,1.2863312250003218,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,linear_svc,scaled_dense,0.5077276744132193,0.019059287383919536,0.26463768115942027,0.5227101441798319,0.6701923076923076,29.0,20.0,0.3606118417999823,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,logistic,scaled_dense,0.5038270989175169,0.016195669519279712,0.401256038647343,0.5490949954085288,0.6076923076923076,29.0,20.0,0.340960625000298,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.5250526069934189,0.030559023290687534,0.38347826086956516,0.5599693896632048,0.6278846153846154,29.0,20.0,0.4262220084005094,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,rbf_svc,scaled_dense,0.4952287838614587,0.02765209069950453,0.47623188405797096,0.5294587551660423,0.5971153846153846,29.0,20.0,0.2748525001989037,5
42,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,xgboost,native,0.50394344707923,0.02698734991956203,0.4189371980676328,0.5374059224212318,0.6057692307692307,29.0,20.0,0.5448484086002281,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,catboost,scaled_dense,0.6765444373973761,0.02299123044407314,0.6127272727272727,0.6842125480153649,0.7105769230769231,47.8,27.0,0.1457903830007126,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,scaled_dense,0.6823423832381799,0.013232982020017893,0.6372027972027972,0.6929193341869399,0.7134615384615385,47.8,27.0,0.16375066639884606,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,hist_gradient_boosting,scaled_dense,0.6903823742594809,0.030916288824901852,0.6126340326340326,0.6954089103384878,0.7259615384615385,47.8,27.0,0.4698272086003271,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,lightgbm,scaled_dense,0.676757619651465,0.04779463412453457,0.5393473193473193,0.6749184149184149,0.725,47.8,27.0,0.38144724999947355,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,linear_svc,scaled_dense,0.6749944548516187,0.02723064583999556,0.6310955710955711,0.6856846908959585,0.7057692307692308,47.8,27.0,0.0351696249999804,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,logistic,scaled_dense,0.6772980691789966,0.02488303025444808,0.6493706293706294,0.6906116418792475,0.7057692307692307,47.8,27.0,0.0366803082011756,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,random_forest,scaled_dense,0.6904107847726484,0.020407737388356686,0.6218648018648019,0.6971876949341738,0.725,47.8,27.0,0.2687999247995322,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,rbf_svc,scaled_dense,0.6724982174390937,0.03393408322098316,0.6645687645687646,0.6890557799008503,0.698076923076923,47.8,27.0,0.0738366752004367,5
42,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,xgboost,scaled_dense,0.6743017207873574,0.022154300729009143,0.6280652680652681,0.6848688400801077,0.7057692307692307,47.8,27.0,0.1386089250008808,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,0.6749944026596031,0.034918052355155695,0.6066200466200466,0.6818730096194885,0.7096153846153846,29.0,20.0,0.2493829502003791,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,0.6831118615642269,0.013069020220724292,0.6495104895104895,0.6955619028858465,0.7125,29.0,20.0,0.2785494251991622,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,hist_gradient_boosting,native,0.6900814376075382,0.03647508596253329,0.6462470862470863,0.700268229423159,0.7201923076923077,29.0,20.0,0.5710318916004326,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,lightgbm,native,0.6795459745463528,0.0559324467009592,0.5455477855477856,0.6773193473193474,0.7259615384615385,29.0,20.0,0.47855724140026723,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,linear_svc,scaled_dense,0.6749012199834907,0.017784109048462057,0.6310489510489511,0.6856367576085887,0.7057692307692307,29.0,20.0,0.1896704084007069,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,logistic,scaled_dense,0.6756498478010395,0.020766886151964772,0.6371095571095571,0.6872635345874782,0.7057692307692307,29.0,20.0,0.13657026660002883,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.6915549911488907,0.01138244565588035,0.6342657342657343,0.6998965822909484,0.7240384615384615,29.0,20.0,0.3036866751994239,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,rbf_svc,scaled_dense,0.6802386808014674,0.02302822905796147,0.6798135198135198,0.6980718342690173,0.7048076923076924,29.0,20.0,0.17962972500026803,5
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,xgboost,native,0.6706266521761503,0.023261306662682033,0.631002331002331,0.6821169440887751,0.7009615384615385,29.0,20.0,0.24455536680034123,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,catboost,native,0.6627213530462597,0.041483475395453474,0.8065700483091789,0.6606659765355417,0.7165501165501166,46.0,26.0,0.11561834180101867,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,extra_trees,unscaled_dense,0.6668493565079464,0.03908134934195769,0.7404830917874395,0.6771463077984817,0.7013519813519814,46.0,26.0,0.13457724179897923,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,hist_gradient_boosting,native,0.6318360624882364,0.058244999360206,0.7403864734299517,0.637336093857833,0.6767365967365967,46.0,26.0,0.27718062520070813,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,lightgbm,native,0.6353018676388984,0.046655838644536096,0.7758454106280193,0.6353036576949621,0.6891841491841492,46.0,26.0,0.19681699179927814,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,linear_svc,scaled_dense,0.6364770163790338,0.06345106935674356,0.7407729468599034,0.6425293305728088,0.6799067599067599,46.0,26.0,0.03054684159942548,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,logistic,scaled_dense,0.6543165012782108,0.05776897054090191,0.7404830917874395,0.662384403036577,0.6921212121212121,46.0,26.0,0.03016099179949374,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,random_forest,unscaled_dense,0.6758762023636166,0.08516901072192208,0.7845410628019323,0.6796514837819185,0.7197202797202797,46.0,26.0,0.26268194199947176,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,rbf_svc,scaled_dense,0.657201793233847,0.06902799476371624,0.7403864734299517,0.6678122843340235,0.6951515151515151,46.0,26.0,0.030243799801246456,5
42,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,xgboost,native,0.6380053647873747,0.06746545192102715,0.7582608695652173,0.6412732919254658,0.6861538461538462,46.0,26.0,0.13294997499979214,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,catboost,native,0.6354479548497325,0.08232042426916833,0.7893719806763284,0.6320669427191167,0.6924009324009324,25.8,13.0,0.1668670164013747,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,extra_trees,unscaled_dense,0.6944454655708248,0.054217114968316486,0.7714009661835749,0.7026052449965493,0.728904428904429,25.8,13.0,0.19787913279942582,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,hist_gradient_boosting,native,0.681207681717777,0.07028646724282024,0.7581642512077295,0.6907487922705314,0.7165501165501166,25.8,13.0,0.33111124979914164,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,lightgbm,native,0.6618168255291058,0.057082470201967835,0.7668599033816424,0.6655728088336784,0.7046153846153846,25.8,13.0,0.24971735840008477,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,linear_svc,scaled_dense,0.6805950042955539,0.06778298389843442,0.7492753623188406,0.6915424430641822,0.7132867132867132,25.8,13.0,0.1307751332002226,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,logistic,scaled_dense,0.671324496395201,0.06685396654953989,0.72743961352657,0.6856245686680469,0.7011655011655011,25.8,13.0,0.10175278359965885,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,random_forest,unscaled_dense,0.6858937335615878,0.057414521725521625,0.7714009661835749,0.6926052449965493,0.7227972027972027,25.8,13.0,0.22203002500100405,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,rbf_svc,scaled_dense,0.6823413617701972,0.04984215410579506,0.7405797101449275,0.6974327122153209,0.7136130536130536,25.8,13.0,0.12065777499956307,5
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,xgboost,native,0.6546877968102905,0.06115439808469989,0.7627053140096619,0.658495514147688,0.6984149184149184,25.8,13.0,0.18490419979934808,5
