split_seed,target,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,inner_folds,mean_delta_macro_f1,improving_folds,mean_delta_priority_recall,eligible_to_advance
42,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.6809622485145299,0.023490771046805844,0.6341724941724942,0.6914386552414722,0.7125,21.0,14.8,5,,,,True
42,stage_1,SEL_04,raw__l1__C=1.0,selector_configuration,final_26,l1,C=1.0,,raw,logistic,0.6726204370550775,0.031847552076518765,0.627925407925408,0.6834003086115763,0.7038461538461538,44.6,24.6,5,,,,True
42,stage_1,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.6883103090591135,0.01599503360367334,0.6372960372960372,0.6978807577399126,0.7201923076923077,46.8,26.0,5,,,,True
42,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6912291578387304,0.005507410454838101,0.6646620046620046,0.7045313372073936,0.7192307692307692,29.0,20.0,5,,,,True
42,stage_1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6728207618140277,0.00995626137395506,0.6373426573426573,0.6852575593420663,0.7028846153846154,18.0,13.0,5,,,,True
42,stage_1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6717106530291549,0.00832527070816878,0.6402797202797202,0.6846232640598837,0.7009615384615385,15.4,11.2,5,,,,True
42,stage_2,SEL_01,raw__none__all,selector_configuration,final_26,none,all,,raw,logistic,0.6543165012782108,0.05776897054090191,0.7404830917874395,0.662384403036577,0.6921212121212121,46.0,26.0,5,,,,True
42,stage_2,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,logistic,0.6606726291497415,0.038934995579604746,0.7273429951690822,0.6762905452035887,0.6951981351981352,17.4,13.6,5,,,,True
42,stage_2,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.683574727410247,0.05609159353560196,0.7229951690821256,0.7034023464458248,0.7104428904428904,12.8,8.4,5,,,,True
42,stage_2,SEL_04,raw__l1__C=1.0,selector_configuration,final_26,l1,C=1.0,,raw,logistic,0.6581460994312969,0.050799456804588146,0.7404830917874395,0.6676224982746722,0.6951981351981352,40.8,22.8,5,,,,True
42,stage_2,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.6821086267765358,0.053370786880805855,0.7667632850241546,0.6905244996549345,0.7195337995337996,46.0,26.0,5,,,,True
42,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6835276376458973,0.04259938393924738,0.7227053140096619,0.7027812284334024,0.7104428904428904,17.4,13.6,5,,,,True
42,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6956394640289608,0.05972282172946503,0.7537198067632851,0.708288474810214,0.7257342657342657,24.2,13.0,5,,,,True
42,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6824723389947774,0.02554378039806421,0.7534299516908213,0.6933816425120772,0.7165034965034965,20.0,10.4,5,,,,True
42,direct,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,0.5127712042502373,0.01949252589204748,0.3040579710144927,0.5662165255306713,0.6317307692307692,47.8,47.8,5,-0.0026646817642206407,1.0,-0.004927536231884079,False
42,direct,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,0.5081963929790637,0.012460813365435836,0.3039613526570048,0.5614523846795738,0.6278846153846154,47.8,47.8,5,-0.007239493035394122,1.0,-0.005024154589371979,False
42,direct,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,0.5070856887394867,0.01585760520268585,0.29961352657004825,0.5628768083881373,0.6269230769230769,47.8,47.8,5,-0.008350197274971119,1.0,-0.009371980676328518,False
42,direct,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,0.5064026449675769,0.010863216284900543,0.3038647342995168,0.5595520935937348,0.6240384615384615,47.8,47.8,5,-0.009033241046880879,1.0,-0.005120772946859921,False
42,direct,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.49961182546646565,0.01891460084285654,0.2776811594202898,0.5571735823542314,0.6192307692307693,45.8,45.8,5,-0.01582406054799214,1.0,-0.03130434782608696,False
42,direct,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.5084271826856879,0.018010302614239738,0.2865700483091787,0.5667496974233044,0.6288461538461538,46.8,46.8,5,-0.007008703328769921,2.0,-0.02241545893719806,False
42,direct,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,0.5084271826856879,0.018010302614239738,0.2865700483091787,0.5667496974233044,0.6288461538461538,46.8,46.8,5,-0.007008703328769921,2.0,-0.02241545893719806,False
