split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,class_patients,observed_n,missing_n,mean,standard_deviation,median,q1,q3
0,0,582,NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",1,rare fall,127,127,0,2.2913385826771653,0.6913322337833068,2.0,2.0,3.0
0,0,582,NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",2,recurrent fall,57,57,0,2.807017543859649,0.8951974341536552,3.0,2.0,3.0
0,0,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",0,no fall,398,398,0,31.829145728643216,13.529553611662521,30.5,22.0,39.75
0,0,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",1,rare fall,127,127,0,40.118110236220474,15.078953151544761,40.0,30.0,48.0
0,0,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",2,recurrent fall,57,57,0,45.36842105263158,13.768016221543744,45.0,35.0,55.0
0,0,582,NP4TOT,MDS-UPDRS Part IV complications total,0,no fall,398,286,112,3.2167832167832167,3.7391055504963226,2.0,0.0,6.0
0,0,582,NP4TOT,MDS-UPDRS Part IV complications total,1,rare fall,127,103,24,5.281553398058253,4.451079348564653,5.0,1.0,8.0
0,0,582,NP4TOT,MDS-UPDRS Part IV complications total,2,recurrent fall,57,54,3,7.055555555555555,3.892017310102612,8.0,4.0,10.0
0,0,582,NP1CNST,Constipation severity,0,no fall,398,398,0,1.0778894472361809,1.0144862917309534,1.0,0.0,2.0
0,0,582,NP1CNST,Constipation severity,1,rare fall,127,127,0,1.669291338582677,1.0393459337505249,2.0,1.0,2.0
0,0,582,NP1CNST,Constipation severity,2,recurrent fall,57,57,0,1.912280701754386,1.1692595604909535,2.0,1.0,3.0
0,1,582,Years_since_PD_diagnosis,Years since PD diagnosis,0,no fall,398,398,0,4.799679437571155,4.09001410523008,3.082819986310746,2.1683778234086244,6.041752224503765
0,1,582,Years_since_PD_diagnosis,Years since PD diagnosis,1,rare fall,127,127,0,6.780686295116602,4.7654375137994975,5.330595482546201,2.4175222450376452,11.66735112936345
0,1,582,Years_since_PD_diagnosis,Years since PD diagnosis,2,recurrent fall,57,57,0,10.120297320988987,3.972657073569014,11.000684462696784,8.167008898015059,13.163586584531142
0,1,582,Age,Age at landmark,0,no fall,398,398,0,65.21608040201005,9.750982264727005,66.0,59.0,72.0
0,1,582,Age,Age at landmark,1,rare fall,127,127,0,69.5275590551181,8.893395776583047,71.0,63.5,76.0
0,1,582,Age,Age at landmark,2,recurrent fall,57,57,0,69.24561403508773,9.304915562974507,72.0,64.0,75.0
0,1,582,MCATOT,MoCA total score,0,no fall,398,398,0,27.27889447236181,2.4750862965225764,28.0,26.0,29.0
0,1,582,MCATOT,MoCA total score,1,rare fall,127,127,0,26.0,3.758588049651641,27.0,24.0,29.0
0,1,582,MCATOT,MoCA total score,2,recurrent fall,57,57,0,25.105263157894736,5.563542712948018,27.0,23.0,29.0
0,1,582,FRZGT12M,Freezing of gait severity,0,no fall,398,378,20,0.29894179894179895,0.719599757453585,0.0,0.0,0.0
0,1,582,FRZGT12M,Freezing of gait severity,1,rare fall,127,119,8,0.7310924369747899,0.9802929257097358,0.0,0.0,1.0
0,1,582,FRZGT12M,Freezing of gait severity,2,recurrent fall,57,54,3,2.0185185185185186,1.3803300226209343,2.0,1.0,3.0
0,1,582,SCAU14,Lightheaded after standing,0,no fall,398,398,0,0.5804020100502513,0.7007141655191339,0.0,0.0,1.0
0,1,582,SCAU14,Lightheaded after standing,1,rare fall,127,127,0,0.7244094488188977,0.7419105041044284,1.0,0.0,1.0
0,1,582,SCAU14,Lightheaded after standing,2,recurrent fall,57,57,0,1.2280701754385965,0.9066725637431692,1.0,1.0,2.0
0,1,582,SCAU16,Fainting,0,no fall,398,398,0,0.07537688442211055,0.264330785950769,0.0,0.0,0.0
0,1,582,SCAU16,Fainting,1,rare fall,127,127,0,0.13385826771653545,0.4055606490649596,0.0,0.0,0.0
0,1,582,SCAU16,Fainting,2,recurrent fall,57,57,0,0.12280701754385964,0.33113308926626084,0.0,0.0,0.0
0,1,582,GDS_TOTAL,GDS-15 depression total,0,no fall,398,398,0,2.309045226130653,2.3832895567470556,2.0,1.0,3.0
0,1,582,GDS_TOTAL,GDS-15 depression total,1,rare fall,127,127,0,3.3858267716535435,3.14477960994894,3.0,1.0,4.5
0,1,582,GDS_TOTAL,GDS-15 depression total,2,recurrent fall,57,57,0,5.368421052631579,4.16461102174093,4.0,2.0,9.0
