sensitivity_id,split_seed,system,sensitivity_minus_primary_macro_f1,sensitivity_minus_primary_balanced_accuracy,sensitivity_minus_primary_accuracy,sensitivity_minus_primary_macro_auc_ovr,sensitivity_minus_primary_recall_no_fall,sensitivity_minus_primary_recall_rare_fall,sensitivity_minus_primary_recall_recurrent_fall
S01_101_FLAGS,0,direct,-0.007713426738690465,-0.01624213548347686,0.0,-0.005770593903830168,0.014018691588785104,-0.02941176470588236,-0.033333333333333326
S01_101_FLAGS,0,two_stage,0.020460961203056516,0.032734713823224015,0.0064102564102563875,-0.001014148278169258,-0.02336448598130836,0.08823529411764708,0.03333333333333344
S01_101_FLAGS,1,direct,-0.004396742350022631,-0.009324415124305263,-0.0064102564102564985,-0.0008649418996419245,-0.009345794392523366,0.01470588235294118,-0.033333333333333326
S01_101_FLAGS,1,two_stage,0.0069598753607642005,0.006459593183067658,0.0064102564102563875,0.007381292996698208,0.004672897196261627,0.01470588235294118,0.0
S01_101_FLAGS,2,direct,0.012219483959271304,0.014705882352941124,0.009615384615384581,0.012833956082243692,0.0,0.044117647058823484,0.0
S01_101_FLAGS,2,two_stage,0.0019276309557638704,0.0,0.0,0.0029319056227692375,0.0,5.551115123125783e-17,0.0
S01_101_FLAGS,3,direct,0.0060339798263573385,0.0026357583531855244,0.0064102564102563875,-0.002695010610428872,0.01869158878504673,-0.04411764705882354,0.033333333333333326
S01_101_FLAGS,3,two_stage,-0.04565785906179903,-0.04313725490196074,-0.01602564102564108,0.008707263861247316,0.0,-0.02941176470588236,-0.09999999999999998
S01_101_FLAGS,4,direct,-0.016688178520940733,-0.026895119418483993,-0.01602564102564108,-0.003653001041650894,-0.014018691588785104,0.0,-0.06666666666666665
S01_101_FLAGS,4,two_stage,-0.01257318108381944,-0.01601307189542478,-0.0064102564102563875,-0.0025945645475179413,0.0,-0.014705882352941069,-0.033333333333333326
S01_101_FLAGS,5,direct,-0.00895799300639899,-0.006459593183067658,-0.0064102564102563875,-0.005101354049684925,-0.004672897196261738,-0.014705882352941124,0.0
S01_101_FLAGS,5,two_stage,-0.009768494399809924,-0.007788161993769471,-0.01602564102564097,0.0004951820962857401,-0.02336448598130847,5.551115123125783e-17,0.0
S01_101_FLAGS,6,direct,0.006400527106466991,0.0015790116669720522,0.01602564102564108,-0.001445841127381886,0.02336448598130836,0.014705882352941235,-0.033333333333333326
S01_101_FLAGS,6,two_stage,-0.011799484560927942,-0.015533565451102627,-0.0064102564102563875,-0.006380490500121017,-0.009345794392523366,0.02941176470588236,-0.06666666666666665
S01_101_FLAGS,7,direct,0.029340843067093725,0.030718954248366126,0.01602564102564108,0.004032601777802736,0.0,0.05882352941176472,0.033333333333333326
S01_101_FLAGS,7,two_stage,-0.027108102984352955,-0.02453118318978692,-0.028846153846153855,-0.00459465581510321,-0.01869158878504673,-0.08823529411764697,0.03333333333333338
S01_101_FLAGS,8,direct,0.02820566066970498,0.02918270111783039,0.02564102564102566,-0.006434590721233757,0.014018691588784993,0.07352941176470584,0.0
S01_101_FLAGS,8,two_stage,0.00169519933472434,0.010860668254840777,-0.0032051282051281937,0.004649615792611694,-0.004672897196261738,-0.02941176470588236,0.06666666666666665
S01_101_FLAGS,9,direct,0.000476552172645639,-0.0015576323987538387,-0.0032051282051281937,-0.0005882825534168079,-0.004672897196261738,0.0,0.0
S01_101_FLAGS,9,two_stage,0.017695421726973026,0.016013071895424946,0.0064102564102563875,0.004191615405728433,0.0,0.014705882352941235,0.03333333333333338
S01_101_FLAGS,10,direct,-0.0013151195421869932,-0.006438213914849444,0.0064102564102564985,-0.006328808932452246,0.014018691588785104,5.551115123125783e-17,-0.033333333333333326
S01_101_FLAGS,10,two_stage,0.01943807431384703,0.019607843137254832,0.012820512820512775,-0.008935475994179765,0.0,0.05882352941176472,0.0
S01_101_FLAGS,11,direct,-0.0047481042206427015,-0.008224909901655364,0.009615384615384692,0.006130666181321964,0.02336448598130836,-0.014705882352941124,-0.033333333333333326
S01_101_FLAGS,11,two_stage,-0.007279071297301654,-0.004901960784313708,-0.0032051282051283048,0.005341984505851993,0.0,-0.014705882352941124,0.0
S01_101_FLAGS,12,direct,-0.013340444497909776,-0.00826766843809179,-0.01602564102564108,-0.005377802852936542,-0.014018691588784993,-0.044117647058823484,0.033333333333333326
S01_101_FLAGS,12,two_stage,-0.028654085300984233,-0.0364272188626229,-0.0032051282051281937,-0.0012493775349128322,0.009345794392523366,0.014705882352941235,-0.1333333333333333
S01_101_FLAGS,13,direct,-0.0017437879069106543,-2.1379268218213454e-05,-0.012820512820512886,-0.0014054048086344917,-0.01869158878504673,-0.014705882352941124,0.03333333333333338
S01_101_FLAGS,13,two_stage,0.006807054356514852,0.006459593183067658,0.0064102564102563875,0.002351404483071584,0.004672897196261738,0.01470588235294118,0.0
S01_101_FLAGS,14,direct,0.0022665122703602325,0.0017866959868060306,-0.0032051282051281937,-0.004250699117353651,-0.009345794392523366,0.014705882352941235,0.0
S01_101_FLAGS,14,two_stage,-0.0008829918794986957,-0.0015790116669720522,-0.01602564102564108,-0.013134098151653562,-0.02336448598130836,-0.014705882352941124,0.033333333333333326
S01_101_FLAGS,15,direct,-0.007523576485934824,-0.01339869281045758,-0.012820512820512775,0.0030993810701259727,0.0,-0.07352941176470584,0.033333333333333326
S01_101_FLAGS,15,two_stage,0.011573494586063382,0.0035947712418299416,0.0064102564102563875,-0.0065504686046912175,0.0,0.04411764705882354,-0.033333333333333326
S01_101_FLAGS,16,direct,0.008660532070650984,0.004672897196261627,0.009615384615384581,0.004655751383218054,0.014018691588784993,5.551115123125783e-17,0.0
S01_101_FLAGS,16,two_stage,0.03741141849104479,0.03385559831409202,0.03525641025641024,0.00837595858555229,0.028037383177570097,0.07352941176470584,0.0
S01_101_FLAGS,17,direct,-0.01404392567581525,-0.020435526235416335,-0.009615384615384692,-0.007326489803156977,-0.009345794392523366,0.01470588235294118,-0.06666666666666665
S01_101_FLAGS,17,two_stage,-0.010089649789413846,-0.009803921568627472,-0.0064102564102563875,-0.0005905995588030288,0.0,-0.02941176470588236,0.0
S01_101_FLAGS,18,direct,0.005420845908822858,0.004672897196261738,0.009615384615384581,0.005009814632860099,0.014018691588784993,5.551115123125783e-17,0.0
