sensitivity_id,split_seed,system,true_class,predicted_class,patients
S01_101_FLAGS,6,two_stage,1,0,27
S01_101_FLAGS,6,two_stage,1,1,24
S01_101_FLAGS,6,two_stage,1,2,17
S01_101_FLAGS,6,two_stage,2,0,2
S01_101_FLAGS,6,two_stage,2,1,12
S01_101_FLAGS,6,two_stage,2,2,16
S01_101_FLAGS,7,direct,0,0,152
S01_101_FLAGS,7,direct,0,1,50
S01_101_FLAGS,7,direct,0,2,12
S01_101_FLAGS,7,direct,1,0,23
S01_101_FLAGS,7,direct,1,1,34
S01_101_FLAGS,7,direct,1,2,11
S01_101_FLAGS,7,direct,2,0,3
S01_101_FLAGS,7,direct,2,1,12
S01_101_FLAGS,7,direct,2,2,15
S01_101_FLAGS,7,two_stage,0,0,156
S01_101_FLAGS,7,two_stage,0,1,44
S01_101_FLAGS,7,two_stage,0,2,14
S01_101_FLAGS,7,two_stage,1,0,37
S01_101_FLAGS,7,two_stage,1,1,20
S01_101_FLAGS,7,two_stage,1,2,11
S01_101_FLAGS,7,two_stage,2,0,8
S01_101_FLAGS,7,two_stage,2,1,8
S01_101_FLAGS,7,two_stage,2,2,14
S01_101_FLAGS,8,direct,0,0,152
S01_101_FLAGS,8,direct,0,1,41
S01_101_FLAGS,8,direct,0,2,21
S01_101_FLAGS,8,direct,1,0,29
S01_101_FLAGS,8,direct,1,1,26
S01_101_FLAGS,8,direct,1,2,13
S01_101_FLAGS,8,direct,2,0,4
S01_101_FLAGS,8,direct,2,1,9
S01_101_FLAGS,8,direct,2,2,17
S01_101_FLAGS,8,two_stage,0,0,156
S01_101_FLAGS,8,two_stage,0,1,37
S01_101_FLAGS,8,two_stage,0,2,21
S01_101_FLAGS,8,two_stage,1,0,32
S01_101_FLAGS,8,two_stage,1,1,20
S01_101_FLAGS,8,two_stage,1,2,16
S01_101_FLAGS,8,two_stage,2,0,4
S01_101_FLAGS,8,two_stage,2,1,8
S01_101_FLAGS,8,two_stage,2,2,18
S01_101_FLAGS,9,direct,0,0,152
S01_101_FLAGS,9,direct,0,1,48
S01_101_FLAGS,9,direct,0,2,14
S01_101_FLAGS,9,direct,1,0,26
S01_101_FLAGS,9,direct,1,1,29
S01_101_FLAGS,9,direct,1,2,13
S01_101_FLAGS,9,direct,2,0,4
S01_101_FLAGS,9,direct,2,1,12
S01_101_FLAGS,9,direct,2,2,14
S01_101_FLAGS,9,two_stage,0,0,162
S01_101_FLAGS,9,two_stage,0,1,47
S01_101_FLAGS,9,two_stage,0,2,5
S01_101_FLAGS,9,two_stage,1,0,31
S01_101_FLAGS,9,two_stage,1,1,32
S01_101_FLAGS,9,two_stage,1,2,5
S01_101_FLAGS,9,two_stage,2,0,5
S01_101_FLAGS,9,two_stage,2,1,16
S01_101_FLAGS,9,two_stage,2,2,9
S01_101_FLAGS,10,direct,0,0,157
S01_101_FLAGS,10,direct,0,1,44
S01_101_FLAGS,10,direct,0,2,13
S01_101_FLAGS,10,direct,1,0,20
S01_101_FLAGS,10,direct,1,1,24
S01_101_FLAGS,10,direct,1,2,24
S01_101_FLAGS,10,direct,2,0,2
S01_101_FLAGS,10,direct,2,1,8
S01_101_FLAGS,10,direct,2,2,20
S01_101_FLAGS,10,two_stage,0,0,165
S01_101_FLAGS,10,two_stage,0,1,34
S01_101_FLAGS,10,two_stage,0,2,15
S01_101_FLAGS,10,two_stage,1,0,24
S01_101_FLAGS,10,two_stage,1,1,22
S01_101_FLAGS,10,two_stage,1,2,22
S01_101_FLAGS,10,two_stage,2,0,4
S01_101_FLAGS,10,two_stage,2,1,5
S01_101_FLAGS,10,two_stage,2,2,21
S01_101_FLAGS,11,direct,0,0,158
S01_101_FLAGS,11,direct,0,1,42
S01_101_FLAGS,11,direct,0,2,14
S01_101_FLAGS,11,direct,1,0,28
S01_101_FLAGS,11,direct,1,1,26
S01_101_FLAGS,11,direct,1,2,14
S01_101_FLAGS,11,direct,2,0,6
S01_101_FLAGS,11,direct,2,1,15
S01_101_FLAGS,11,direct,2,2,9
S01_101_FLAGS,11,two_stage,0,0,156
S01_101_FLAGS,11,two_stage,0,1,39
S01_101_FLAGS,11,two_stage,0,2,19
S01_101_FLAGS,11,two_stage,1,0,30
S01_101_FLAGS,11,two_stage,1,1,23
S01_101_FLAGS,11,two_stage,1,2,15
S01_101_FLAGS,11,two_stage,2,0,4
S01_101_FLAGS,11,two_stage,2,1,6
S01_101_FLAGS,11,two_stage,2,2,20
S01_101_FLAGS,12,direct,0,0,149
S01_101_FLAGS,12,direct,0,1,41
S01_101_FLAGS,12,direct,0,2,24
S01_101_FLAGS,12,direct,1,0,28
S01_101_FLAGS,12,direct,1,1,22
S01_101_FLAGS,12,direct,1,2,18
S01_101_FLAGS,12,direct,2,0,6
S01_101_FLAGS,12,direct,2,1,6
S01_101_FLAGS,12,direct,2,2,18
S01_101_FLAGS,12,two_stage,0,0,167
S01_101_FLAGS,12,two_stage,0,1,31
S01_101_FLAGS,12,two_stage,0,2,16
S01_101_FLAGS,12,two_stage,1,0,31
S01_101_FLAGS,12,two_stage,1,1,25
S01_101_FLAGS,12,two_stage,1,2,12
S01_101_FLAGS,12,two_stage,2,0,6
S01_101_FLAGS,12,two_stage,2,1,11
S01_101_FLAGS,12,two_stage,2,2,13
S01_101_FLAGS,13,direct,0,0,156
S01_101_FLAGS,13,direct,0,1,44
S01_101_FLAGS,13,direct,0,2,14
S01_101_FLAGS,13,direct,1,0,37
S01_101_FLAGS,13,direct,1,1,19
S01_101_FLAGS,13,direct,1,2,12
S01_101_FLAGS,13,direct,2,0,4
S01_101_FLAGS,13,direct,2,1,12
S01_101_FLAGS,13,direct,2,2,14
S01_101_FLAGS,13,two_stage,0,0,161
S01_101_FLAGS,13,two_stage,0,1,34
