sensitivity_id,split_seed,system,macro_f1,weighted_f1,accuracy,balanced_accuracy,macro_auc_ovr,recall_no_fall,recall_rare_fall,recall_recurrent_fall
S01_101_FLAGS,0,direct,0.511022342858698,0.6401490145865385,0.6153846153846154,0.561324903793293,0.7514285580570309,0.6869158878504673,0.39705882352941174,0.6
S01_101_FLAGS,0,two_stage,0.5225969432865984,0.6467581931772912,0.6217948717948718,0.5539398937144951,0.7594041362976182,0.6588785046728972,0.6029411764705882,0.4
S01_101_FLAGS,1,direct,0.5211621620956037,0.6519110084860771,0.6346153846153846,0.5577728910878993,0.7619752992994465,0.7242990654205608,0.38235294117647056,0.5666666666666667
S01_101_FLAGS,1,two_stage,0.5062673633169711,0.65207268287686,0.6506410256410257,0.5388064259971902,0.7715058104895146,0.7850467289719626,0.2647058823529412,0.5666666666666667
S01_101_FLAGS,2,direct,0.5159165037853234,0.6571810620421668,0.6378205128205128,0.549777044774296,0.7584429365481037,0.7336448598130841,0.38235294117647056,0.5333333333333333
S01_101_FLAGS,2,two_stage,0.5185293571163135,0.6615297966154989,0.6538461538461539,0.5351139209577913,0.7303871681381892,0.7710280373831776,0.36764705882352944,0.4666666666666667
S01_101_FLAGS,3,direct,0.5131289230668113,0.646942314644178,0.6378205128205128,0.5211166086372244,0.7204105867668981,0.7476635514018691,0.38235294117647056,0.43333333333333335
S01_101_FLAGS,3,two_stage,0.43394196208731795,0.6293735123482928,0.6282051282051282,0.43284771852666304,0.684856293459334,0.7897196261682243,0.3088235294117647,0.2
S01_101_FLAGS,4,direct,0.50998203074709,0.6327009990359359,0.6089743589743589,0.5553448170545476,0.7430867138520943,0.6728971962616822,0.4264705882352941,0.5666666666666667
S01_101_FLAGS,4,two_stage,0.5166261824431725,0.6420942048575612,0.6314102564102564,0.5433174515912284,0.7485421525441467,0.7289719626168224,0.36764705882352944,0.5333333333333333
S01_101_FLAGS,5,direct,0.5173366127196196,0.619812792177464,0.592948717948718,0.550900983446338,0.7710200307987013,0.6448598130841121,0.4411764705882353,0.5666666666666667
S01_101_FLAGS,5,two_stage,0.46866147518038,0.6149259555638054,0.592948717948718,0.473993647303158,0.7599661186797958,0.6915887850467289,0.39705882352941174,0.3333333333333333
S01_101_FLAGS,6,direct,0.5166411825084127,0.6410512474426499,0.6185897435897436,0.5628825361920469,0.7494566832782182,0.6915887850467289,0.39705882352941174,0.6
S01_101_FLAGS,6,two_stage,0.49724609948465615,0.6391894801934895,0.6185897435897436,0.5337425936106529,0.7398086275867198,0.7149532710280374,0.35294117647058826,0.5333333333333333
S01_101_FLAGS,7,direct,0.5437736070037771,0.66471025558441,0.6442307692307693,0.5700934579439253,0.7646218388109376,0.7102803738317757,0.5,0.5
S01_101_FLAGS,7,two_stage,0.48110620535974125,0.6169526649359022,0.6089743589743589,0.4965854254474375,0.7336069151689362,0.7289719626168224,0.29411764705882354,0.4666666666666667
S01_101_FLAGS,8,direct,0.5142563198118754,0.6416530999864332,0.625,0.5530999938916377,0.6994345273678219,0.7102803738317757,0.38235294117647056,0.5666666666666667
S01_101_FLAGS,8,two_stage,0.49758473262263164,0.6333660645606839,0.6217948717948718,0.541029869891882,0.7080709068221994,0.7289719626168224,0.29411764705882354,0.6
