sensitivity_id,system,mean_macro_f1,mean_weighted_f1,mean_accuracy,mean_balanced_accuracy,mean_macro_auc_ovr,mean_recall_no_fall,mean_recall_rare_fall,mean_recall_recurrent_fall,sd_macro_f1,sd_weighted_f1,sd_accuracy,sd_balanced_accuracy,sd_macro_auc_ovr,sd_recall_no_fall,sd_recall_rare_fall,sd_recall_recurrent_fall
PRIMARY_NOTEBOOK_07,direct,0.5132044517291475,0.6416176112821296,0.6240384615384615,0.5501010933968603,0.7525213278009402,0.7098130841121495,0.3838235294117647,0.5566666666666666,0.019394859290389803,0.015498709961372464,0.02198801063100182,0.030535871100021875,0.020339180319231313,0.04492074481359398,0.05602881247495658,0.10150908120582837
PRIMARY_NOTEBOOK_07,two_stage,0.509801320677884,0.6456011049700436,0.6358974358974359,0.538308441756765,0.7474651118696991,0.7425233644859813,0.35073529411764703,0.5216666666666667,0.01888991597997095,0.015452090296035663,0.020147944110778887,0.035822912951718244,0.029607964626179286,0.03771678493192078,0.0683592540633605,0.1586769125395986
S01_101_FLAGS,direct,0.513875342619119,0.6421786717791235,0.625,0.5483472298576751,0.751650005752596,0.7121495327102804,0.38455882352941173,0.5483333333333333,0.020400755077470568,0.016408616806570582,0.021862244047668584,0.029099147166211838,0.02110384601037646,0.04267727264887673,0.05487419595009284,0.09701690935993777
S01_101_FLAGS,two_stage,0.5081765473335815,0.6454030835942774,0.6349358974358974,0.5367905137132735,0.7472999919188725,0.7404205607476635,0.35661764705882354,0.5133333333333333,0.02548742411581903,0.016394617935880363,0.019479387070461242,0.044098272214690516,0.02776179277995883,0.037305471378070804,0.07924747941726706,0.16055459438389727
S02_ON_OFF,direct,0.5059944223745354,0.6378486434356361,0.6216346153846154,0.5409790177753344,0.7468997709687819,0.7130841121495327,0.3698529411764706,0.5399999999999999,0.02202783977136308,0.018285614272058437,0.022338689548919426,0.03330191237700829,0.02084132043473507,0.04108570637747924,0.05610494206187332,0.11113450046219873
S02_ON_OFF,two_stage,0.502580460598016,0.6409324454352358,0.632051282051282,0.5317338586524952,0.7411847236071095,0.7408878504672897,0.3426470588235294,0.5116666666666666,0.01864833413953325,0.013342649318676594,0.01694718766634343,0.037962659382425705,0.02855090416057232,0.038037649059838335,0.08642360931873894,0.16446795311652412
S03_COHORT_1043,direct,0.518413542556485,0.6429929907771499,0.6262820512820513,0.5548935617860852,0.7557117335971743,0.7105140186915888,0.3875,0.5666666666666667,0.030437823959446154,0.024447544751902136,0.03116868464759126,0.03869666218989268,0.021867205022705106,0.04906776280920045,0.05711030679830896,0.10540925533894598
S03_COHORT_1043,two_stage,0.5097251412885473,0.6467936516827403,0.6365384615384615,0.5386918942031642,0.7492532632941431,0.7420560747663552,0.3573529411764706,0.5166666666666667,0.021590407029732774,0.019422893217686626,0.02474829166656081,0.03775068896289944,0.02757894162155822,0.04015773543352071,0.06715394372690893,0.16240156712867013
S04_REVISION_PREPROCESSING,direct,0.5215914189951146,0.6467694765425085,0.6306089743589743,0.5589310365890905,0.7555352625362264,0.7154205607476636,0.3897058823529412,0.5716666666666667,0.029011488943758518,0.021337238191001605,0.028151306610486912,0.03918742962076651,0.018218274417564143,0.044224576814722055,0.06248292427453216,0.1234376040972246
S04_REVISION_PREPROCESSING,two_stage,0.5172711196168398,0.6534539005250202,0.6442307692307693,0.5474221183800623,0.7511337350311336,0.749766355140187,0.3625,0.53,0.026851939709024216,0.01904160678708902,0.023322096922261924,0.04143768332554556,0.02590525063556628,0.03752049913745873,0.06546747827795342,0.15816935183419423
S05_CONSTIPATION_LATEST,direct,0.5091733213373987,0.6392431149141412,0.6224358974358974,0.5449986256184717,0.7489528436262178,0.7130841121495327,0.3669117647058823,0.5549999999999999,0.024763362154076957,0.02182643840835167,0.027759172287330876,0.03398135382278176,0.020369686258122865,0.045163140754545215,0.06338272108101373,0.09986833437344546
S05_CONSTIPATION_LATEST,two_stage,0.5094437931908888,0.6457228660948944,0.635576923076923,0.5392752428074032,0.7459899491969748,0.741355140186916,0.3514705882352941,0.525,0.025415547024128165,0.019574740622557776,0.024610270639487532,0.04149465565706408,0.02896333636930384,0.039455445047855114,0.0746661360345724,0.15592583332173032
