sensitivity_id,split_seed,target,patients,macro_f1,balanced_accuracy,accuracy,recall_class_0,recall_class_1,priority_recall
S01_101_FLAGS,0,stage_1,312,0.6816976127320955,0.717194354377265,0.6955128205128205,0.6588785046728972,0.7755102040816326,0.7755102040816326
S01_101_FLAGS,0,stage_2,98,0.650958904109589,0.6411764705882352,0.7346938775510204,0.8823529411764706,0.4,0.8823529411764706
S01_101_FLAGS,1,stage_1,312,0.6896902753238243,0.6935437726492466,0.7275641025641025,0.7850467289719626,0.6020408163265306,0.6020408163265306
S01_101_FLAGS,1,stage_2,98,0.6608187134502923,0.6656862745098039,0.7040816326530612,0.7647058823529411,0.5666666666666667,0.7647058823529411
S01_101_FLAGS,2,stage_1,312,0.6899038461538461,0.6967385084875072,0.7243589743589743,0.7710280373831776,0.6224489795918368,0.6224489795918368
S01_101_FLAGS,2,stage_2,98,0.6461242176215696,0.6490196078431372,0.6938775510204082,0.7647058823529411,0.5333333333333333,0.7647058823529411
S01_101_FLAGS,3,stage_1,312,0.6744913928012519,0.6754720579820713,0.717948717948718,0.7897196261682243,0.5612244897959183,0.5612244897959183
S01_101_FLAGS,3,stage_2,98,0.5033783783783784,0.5117647058823529,0.6326530612244898,0.8235294117647058,0.2,0.8235294117647058
S01_101_FLAGS,4,stage_1,312,0.6558366975606982,0.6655063894716765,0.6891025641025641,0.7289719626168224,0.6020408163265306,0.6020408163265306
S01_101_FLAGS,4,stage_2,98,0.6786885245901639,0.6803921568627451,0.7244897959183674,0.7941176470588235,0.5666666666666667,0.7941176470588235
S01_101_FLAGS,5,stage_1,312,0.6544391281233386,0.6723250047682624,0.6794871794871795,0.6915887850467289,0.6530612244897959,0.6530612244897959
S01_101_FLAGS,5,stage_2,98,0.615686274509804,0.6098039215686274,0.7040816326530612,0.8529411764705882,0.36666666666666664,0.8529411764705882
S01_101_FLAGS,6,stage_1,312,0.6889952153110048,0.7095174518405494,0.7115384615384616,0.7149532710280374,0.7040816326530612,0.7040816326530612
S01_101_FLAGS,6,stage_2,98,0.6374269005847952,0.6416666666666666,0.6836734693877551,0.75,0.5333333333333333,0.75
S01_101_FLAGS,7,stage_1,312,0.6294921312042427,0.6348941445737173,0.6698717948717948,0.7289719626168224,0.5408163265306123,0.5408163265306123
S01_101_FLAGS,7,stage_2,98,0.6412974883251293,0.6377450980392156,0.7040816326530612,0.8088235294117647,0.4666666666666667,0.8088235294117647
S01_101_FLAGS,8,stage_1,312,0.6686401229267411,0.6808125119206561,0.6987179487179487,0.7289719626168224,0.6326530612244898,0.6326530612244898
S01_101_FLAGS,8,stage_2,98,0.6751893939393939,0.6823529411764706,0.7142857142857143,0.7647058823529411,0.6,0.7647058823529411
S01_101_FLAGS,9,stage_1,312,0.6856567136838249,0.6948312035094412,0.717948717948718,0.7570093457943925,0.6326530612244898,0.6326530612244898
S01_101_FLAGS,9,stage_2,98,0.6190191387559809,0.6132352941176471,0.7346938775510204,0.9264705882352942,0.3,0.9264705882352942
S01_101_FLAGS,10,stage_1,312,0.7279860505666957,0.742656875834446,0.7532051282051282,0.7710280373831776,0.7142857142857143,0.7142857142857143
S01_101_FLAGS,10,stage_2,98,0.6526362428001773,0.6808823529411765,0.673469387755102,0.6617647058823529,0.7,0.6617647058823529
S01_101_FLAGS,11,stage_1,312,0.677047704770477,0.6910165935533091,0.7051282051282052,0.7289719626168224,0.6530612244897959,0.6530612244897959
S01_101_FLAGS,11,stage_2,98,0.7122724603640634,0.7230392156862745,0.7448979591836735,0.7794117647058824,0.6666666666666666,0.7794117647058824
S01_101_FLAGS,12,stage_1,312,0.6956380359548473,0.7014114056837688,0.7307692307692307,0.780373831775701,0.6224489795918368,0.6224489795918368
S01_101_FLAGS,12,stage_2,98,0.6335267569310122,0.6284313725490196,0.7040816326530612,0.8235294117647058,0.43333333333333335,0.8235294117647058
S01_101_FLAGS,13,stage_1,312,0.6566225280645048,0.6618825100133512,0.6955128205128205,0.7523364485981309,0.5714285714285714,0.5714285714285714
S01_101_FLAGS,13,stage_2,98,0.6786885245901639,0.6803921568627451,0.7244897959183674,0.7941176470588235,0.5666666666666667,0.7941176470588235
S01_101_FLAGS,14,stage_1,312,0.6717894151360894,0.6695117299256151,0.7211538461538461,0.8084112149532711,0.5306122448979592,0.5306122448979592
S01_101_FLAGS,14,stage_2,98,0.6326530612244898,0.6245098039215686,0.7244897959183674,0.8823529411764706,0.36666666666666664,0.8823529411764706
S01_101_FLAGS,15,stage_1,312,0.6866071428571429,0.7039862674041579,0.7115384615384616,0.7242990654205608,0.6836734693877551,0.6836734693877551
S01_101_FLAGS,15,stage_2,98,0.6842105263157894,0.6897058823529412,0.7244897959183674,0.7794117647058824,0.6,0.7794117647058824
S01_101_FLAGS,16,stage_1,312,0.6723232546570118,0.6923040244135037,0.6955128205128205,0.7009345794392523,0.6836734693877551,0.6836734693877551
S01_101_FLAGS,16,stage_2,98,0.7392109221335185,0.7563725490196078,0.7653061224489796,0.7794117647058824,0.7333333333333333,0.7794117647058824
S01_101_FLAGS,17,stage_1,312,0.6383874780533147,0.6450982262063704,0.6762820512820513,0.7289719626168224,0.5612244897959183,0.5612244897959183
S01_101_FLAGS,17,stage_2,98,0.6689189189189189,0.6558823529411765,0.7551020408163265,0.9117647058823529,0.4,0.9117647058823529
S01_101_FLAGS,18,stage_1,312,0.6711015435146861,0.689538432195308,0.6955128205128205,0.705607476635514,0.673469387755102,0.673469387755102
S01_101_FLAGS,18,stage_2,98,0.7018591549295774,0.7269607843137255,0.7244897959183674,0.7205882352941176,0.7333333333333333,0.7205882352941176
S01_101_FLAGS,19,stage_1,312,0.6997248610151836,0.7129029181766164,0.7275641025641025,0.7523364485981309,0.673469387755102,0.673469387755102
S01_101_FLAGS,19,stage_2,98,0.723943661971831,0.7509803921568627,0.7448979591836735,0.7352941176470589,0.7666666666666667,0.7352941176470589
S02_ON_OFF,0,stage_1,312,0.6700356523730089,0.6959279038718291,0.6891025641025641,0.677570093457944,0.7142857142857143,0.7142857142857143
S02_ON_OFF,0,stage_2,98,0.6326530612244898,0.6245098039215686,0.7244897959183674,0.8823529411764706,0.36666666666666664,0.8823529411764706
S02_ON_OFF,1,stage_1,312,0.6773142809591175,0.6778085065802022,0.7211538461538461,0.794392523364486,0.5612244897959183,0.5612244897959183
S02_ON_OFF,1,stage_2,98,0.6662360540223136,0.675,0.7040816326530612,0.75,0.6,0.75
S02_ON_OFF,2,stage_1,312,0.663006300630063,0.6761396147243944,0.6923076923076923,0.719626168224299,0.6326530612244898,0.6326530612244898
S02_ON_OFF,2,stage_2,98,0.615686274509804,0.615686274509804,0.673469387755102,0.7647058823529411,0.4666666666666667,0.7647058823529411
S02_ON_OFF,3,stage_1,312,0.6921504059724913,0.6926854854091169,0.7339743589743589,0.8037383177570093,0.5816326530612245,0.5816326530612245
S02_ON_OFF,3,stage_2,98,0.5455072463768116,0.5504901960784314,0.673469387755102,0.8676470588235294,0.23333333333333334,0.8676470588235294
S02_ON_OFF,4,stage_1,312,0.6420384294068504,0.6570188823192828,0.6698717948717948,0.6915887850467289,0.6224489795918368,0.6224489795918368
S02_ON_OFF,4,stage_2,98,0.693307655272027,0.6970588235294117,0.7346938775510204,0.7941176470588235,0.6,0.7941176470588235
S02_ON_OFF,5,stage_1,312,0.6573330766879154,0.6682719816898722,0.6891025641025641,0.7242990654205608,0.6122448979591837,0.6122448979591837
S02_ON_OFF,5,stage_2,98,0.6250164929410212,0.6191176470588236,0.7040816326530612,0.8382352941176471,0.4,0.8382352941176471
S02_ON_OFF,6,stage_1,312,0.6884531590413943,0.7003623879458325,0.717948717948718,0.7476635514018691,0.6530612244897959,0.6530612244897959
S02_ON_OFF,6,stage_2,98,0.6519886363636364,0.6583333333333333,0.6938775510204082,0.75,0.5666666666666667,0.75
S02_ON_OFF,7,stage_1,312,0.6626639061421671,0.6697501430478734,0.6987179487179487,0.7476635514018691,0.5918367346938775,0.5918367346938775
S02_ON_OFF,7,stage_2,98,0.6421491914449661,0.6357843137254902,0.7142857142857143,0.8382352941176471,0.43333333333333335,0.8382352941176471
S02_ON_OFF,8,stage_1,312,0.6601307189542484,0.6706084302880031,0.6923076923076923,0.7289719626168224,0.6122448979591837,0.6122448979591837
S02_ON_OFF,8,stage_2,98,0.6548876745598058,0.6563725490196078,0.7040816326530612,0.7794117647058824,0.5333333333333333,0.7794117647058824
S02_ON_OFF,9,stage_1,312,0.6728516070207431,0.6827198168987221,0.7051282051282052,0.7429906542056075,0.6224489795918368,0.6224489795918368
