sensitivity_id,metric,mean_difference,ci95_low,ci95_high,corrected_resampled_p_value,seeds_higher,seeds_lower,n_outer_seeds,test_train_ratio
S01_101_FLAGS,macro_f1,0.0056987952855375,-0.03935744033547802,0.05075503090655303,0.7940683927831286,10,10,20,0.42857142857142855
S01_101_FLAGS,balanced_accuracy,0.011556716144401662,-0.051410538028608746,0.07452397031741208,0.7051371889378169,15,5,20,0.42857142857142855
S01_101_FLAGS,accuracy,-0.009935897435897434,-0.040007960576377136,0.020136165704582272,0.49758933691242363,4,14,20,0.42857142857142855
S01_101_FLAGS,macro_auc_ovr,0.004350013833723437,-0.021294431211134127,0.029994458878581,0.7264737542880368,10,10,20,0.42857142857142855
S01_101_FLAGS,recall_no_fall,-0.02827102803738319,-0.08472945120967236,0.02818739513490598,0.3077598369082237,3,16,20,0.42857142857142855
S01_101_FLAGS,recall_rare_fall,0.02794117647058822,-0.08907399189845583,0.14495634483963227,0.6229702038752992,15,5,20,0.42857142857142855
S01_101_FLAGS,recall_recurrent_fall,0.034999999999999996,-0.1805462658981901,0.25054626589819007,0.7376892246519476,12,7,20,0.42857142857142855
S02_ON_OFF,macro_f1,0.0034139617765194335,-0.033642842871221185,0.04047076642426005,0.8491416770706537,13,7,20,0.42857142857142855
S02_ON_OFF,balanced_accuracy,0.009245159122839177,-0.054814848964018816,0.07330516720969717,0.7658834835288928,15,5,20,0.42857142857142855
S02_ON_OFF,accuracy,-0.010416666666666657,-0.032539073852389494,0.01170574051905618,0.33674769453173825,3,14,20,0.42857142857142855
S02_ON_OFF,macro_auc_ovr,0.005715047361672332,-0.019888506837085613,0.03131860156043027,0.6456770346022208,12,8,20,0.42857142857142855
S02_ON_OFF,recall_no_fall,-0.027803738317757003,-0.07879053045312406,0.023183053817610058,0.26790500362743674,3,17,20,0.42857142857142855
S02_ON_OFF,recall_rare_fall,0.027205882352941184,-0.0946787659808295,0.14909053068671185,0.6456813947635622,13,5,20,0.42857142857142855
S02_ON_OFF,recall_recurrent_fall,0.028333333333333332,-0.22234550115103813,0.27901216781770477,0.8155243955947614,12,5,20,0.42857142857142855
S03_COHORT_1043,macro_f1,0.008688401267937716,-0.03786184865560156,0.05523865119147699,0.7003987476288258,12,8,20,0.426812585499316
S03_COHORT_1043,balanced_accuracy,0.016201667582921023,-0.03962898630736712,0.07203232147320918,0.5507888370746064,14,6,20,0.426812585499316
S03_COHORT_1043,accuracy,-0.010256410256410265,-0.0474848087042813,0.026971988191460777,0.5709602135984542,6,12,20,0.426812585499316
S03_COHORT_1043,macro_auc_ovr,0.006458470303031133,-0.019772966921482938,0.032689907527545206,0.6122694069900417,12,8,20,0.426812585499316
S03_COHORT_1043,recall_no_fall,-0.03154205607476635,-0.08863302405174123,0.025548911902208524,0.2618633335179755,3,17,20,0.426812585499316
S03_COHORT_1043,recall_rare_fall,0.030147058823529405,-0.05988718239739342,0.12018130004445222,0.49190477673873706,13,5,20,0.426812585499316
S03_COHORT_1043,recall_recurrent_fall,0.05,-0.14301894569676749,0.24301894569676746,0.5939964336675185,11,8,20,0.426812585499316
S04_REVISION_PREPROCESSING,macro_f1,0.004320299378274844,-0.04210048749082146,0.05074108624737114,0.8476220322809759,12,8,20,0.42857142857142855
S04_REVISION_PREPROCESSING,balanced_accuracy,0.011508918209028173,-0.044319837423895087,0.06733767384195143,0.6709826601797528,13,7,20,0.42857142857142855
S04_REVISION_PREPROCESSING,accuracy,-0.013621794871794874,-0.05588475056247902,0.028641160818889275,0.5080537615551551,3,17,20,0.42857142857142855
S04_REVISION_PREPROCESSING,macro_auc_ovr,0.004401527505092845,-0.020451233002010728,0.029254288012196417,0.7149739526016077,11,9,20,0.42857142857142855
S04_REVISION_PREPROCESSING,recall_no_fall,-0.03434579439252337,-0.10415403019225997,0.03546244140721324,0.31604853261718013,3,17,20,0.42857142857142855
S04_REVISION_PREPROCESSING,recall_rare_fall,0.027205882352941156,-0.08424746470012476,0.13865922940600708,0.6152999103712009,14,6,20,0.42857142857142855
S04_REVISION_PREPROCESSING,recall_recurrent_fall,0.04166666666666667,-0.14484993026455328,0.22818326359788665,0.6454111839475797,13,6,20,0.42857142857142855
S05_CONSTIPATION_LATEST,macro_f1,-0.0002704718534901479,-0.04550258970829349,0.044961646001313194,0.9901447934808227,11,9,20,0.42857142857142855
S05_CONSTIPATION_LATEST,balanced_accuracy,0.005723382811068373,-0.05210382619057837,0.06355059181271512,0.8380930596750136,13,7,20,0.42857142857142855
S05_CONSTIPATION_LATEST,accuracy,-0.013141025641025645,-0.045918430145323194,0.01963637886327191,0.41183058582957643,7,12,20,0.42857142857142855
S05_CONSTIPATION_LATEST,macro_auc_ovr,0.0029628944292430736,-0.022906116106486043,0.028831904964972187,0.8131118083299924,10,10,20,0.42857142857142855
S05_CONSTIPATION_LATEST,recall_no_fall,-0.028271028037383183,-0.08511223898190046,0.028570182907134083,0.31093978481839274,3,16,20,0.42857142857142855
S05_CONSTIPATION_LATEST,recall_rare_fall,0.015441176470588241,-0.09984307764224745,0.13072543058342392,0.7822464812156646,10,8,20,0.42857142857142855
S05_CONSTIPATION_LATEST,recall_recurrent_fall,0.030000000000000006,-0.15784296844052165,0.21784296844052164,0.7418355566347792,11,6,20,0.42857142857142855
