sensitivity_id,target,selected_column,selected_seeds
S01_101_FLAGS,stage_1,FEATPOSHYP_Yes,8
S01_101_FLAGS,stage_1,DOMSIDE_Left,7
S01_101_FLAGS,stage_1,DOMSIDE_Right,7
S01_101_FLAGS,stage_1,DOMSIDE_Symmetric,7
S01_101_FLAGS,stage_1,DOMSIDE_Unknown,7
S01_101_FLAGS,stage_1,DXPOSINS_No,7
S01_101_FLAGS,stage_1,DXPOSINS_Unknown,7
S01_101_FLAGS,stage_1,DXPOSINS_Yes,7
S01_101_FLAGS,stage_1,DXRIGID_No,7
S01_101_FLAGS,stage_1,DXRIGID_Unknown,7
S01_101_FLAGS,stage_1,DXRIGID_Yes,7
S01_101_FLAGS,stage_1,NP1SLPD,7
S01_101_FLAGS,stage_1,DXPOSINS_Missing,5
S01_101_FLAGS,stage_1,PCA_PART_I_PATIENT_3_90_PC1,2
S01_101_FLAGS,stage_1,PCA_PART_I_PATIENT_3_90_PC2,2
S01_101_FLAGS,stage_1,PCA_PART_I_PATIENT_3_90_PC3,2
S01_101_FLAGS,stage_1,INT_DURATION_X_MOTOR,1
S01_101_FLAGS,stage_1,INT_GAIT_X_POSTURAL_STABILITY,1
S01_101_FLAGS,stage_1,INT_MOBILITY_X_POSTURAL_STABILITY,1
S01_101_FLAGS,stage_1,PCA_PART_I_PATIENT_3_80_PC1,1
S01_101_FLAGS,stage_1,PCA_PART_I_PATIENT_3_80_PC2,1
S01_101_FLAGS,stage_2,FOG_FORM_MISSING,20
S01_101_FLAGS,stage_2,FRZGT12M,20
S01_101_FLAGS,stage_2,NHY_COMBINED_MAX,20
S01_101_FLAGS,stage_2,NP4TOT,20
S01_101_FLAGS,stage_2,NQ_FORM_MISSING,20
S01_101_FLAGS,stage_2,NQ_GAUSSIAN_REVISION,20
S01_101_FLAGS,stage_2,PART_IV_FORM_MISSING,20
S01_101_FLAGS,stage_2,Years_since_PD_diagnosis,20
S01_101_FLAGS,stage_2,NP3PSTBL_COMBINED_MAX,19
