split_seed,target,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,catboost,scaled_dense,0.656213513805012,0.045444774033651214,0.5521739130434782,0.6586122090469917,0.6977704298535664,46.8,27.0,0.14796960020103142,5
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,scaled_dense,0.6760929980831973,0.02862757644799035,0.6043478260869566,0.6827294685990338,0.7115257439773265,46.8,27.0,0.1736846082007105,5
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,hist_gradient_boosting,scaled_dense,0.6842453140462952,0.05354380597570416,0.5826086956521739,0.6858397013614405,0.7238072744449693,46.8,27.0,0.4838573166016431,5
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,lightgbm,scaled_dense,0.6492070985845889,0.05364807908620768,0.508695652173913,0.6479336846728151,0.699140292867265,46.8,27.0,0.36211546679915046,5
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,linear_svc,scaled_dense,0.672636092701944,0.0568407720118152,0.6347826086956522,0.6848660518225735,0.7032215399149739,46.8,27.0,0.04815022500115447,5
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,logistic,scaled_dense,0.6688676403431375,0.06498523034609766,0.6260869565217392,0.680538427755819,0.7004818138875768,46.8,27.0,0.11641230839959463,5
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,random_forest,scaled_dense,0.6869367800188424,0.03601494850587729,0.6043478260869566,0.6917597716293369,0.723863958431743,46.8,27.0,0.2694029998012411,5
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,rbf_svc,scaled_dense,0.6774972937647333,0.0313351601913387,0.6391304347826087,0.6890601668862538,0.7073878129428437,46.8,27.0,0.0668482833993039,5
0,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,xgboost,scaled_dense,0.6490856342279391,0.03810591057224235,0.591304347826087,0.6580865173473869,0.6826358053849788,46.8,27.0,0.13859866659913678,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,catboost,scaled_dense,0.656213513805012,0.045444774033651214,0.5521739130434782,0.6586122090469917,0.6977704298535664,46.8,27.0,0.147475716999179,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,scaled_dense,0.6760929980831973,0.02862757644799035,0.6043478260869566,0.6827294685990338,0.7115257439773265,46.8,27.0,0.16956034979884863,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,hist_gradient_boosting,scaled_dense,0.6842453140462952,0.05354380597570416,0.5826086956521739,0.6858397013614405,0.7238072744449693,46.8,27.0,0.4818897247998393,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,lightgbm,scaled_dense,0.6492070985845889,0.05364807908620768,0.508695652173913,0.6479336846728151,0.699140292867265,46.8,27.0,0.36372410840122027,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,linear_svc,scaled_dense,0.672636092701944,0.0568407720118152,0.6347826086956522,0.6848660518225735,0.7032215399149739,46.8,27.0,0.04135182499958319,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,logistic,scaled_dense,0.6688676403431375,0.06498523034609766,0.6260869565217392,0.680538427755819,0.7004818138875768,46.8,27.0,0.07613970819948009,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,random_forest,scaled_dense,0.6869367800188424,0.03601494850587729,0.6043478260869566,0.6917597716293369,0.723863958431743,46.8,27.0,0.27657322520026356,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,rbf_svc,scaled_dense,0.6774972937647333,0.0313351601913387,0.6391304347826087,0.6890601668862538,0.7073878129428437,46.8,27.0,0.06860509179969085,5
0,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,none,all,PCA_PART_I_PATIENT_3_95,pca,xgboost,scaled_dense,0.6490856342279391,0.03810591057224235,0.591304347826087,0.6580865173473869,0.6826358053849788,46.8,27.0,0.13967639159964165,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,catboost,scaled_dense,0.6540260543686796,0.033733669294453296,0.823991935483871,0.651519777265745,0.717391304347826,44.0,27.0,0.12607614180014934,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,scaled_dense,0.6692977547022269,0.04887852292465244,0.7362903225806452,0.6848118279569892,0.7043478260869566,44.0,27.0,0.1352783581998665,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,hist_gradient_boosting,scaled_dense,0.6608213343552556,0.04661474174107509,0.7479838709677419,0.6692300307219663,0.7,44.0,27.0,0.22384995019965573,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,lightgbm,scaled_dense,0.6376116672836225,0.05501117425200851,0.8110887096774194,0.6374491167434716,0.7043478260869565,44.0,27.0,0.16585029179987032,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,linear_svc,scaled_dense,0.6376321413924122,0.08927796855847493,0.7042338709677419,0.6549740783410138,0.673913043478261,44.0,27.0,0.03196664179922663,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,logistic,scaled_dense,0.6545701960111988,0.07982104871426754,0.7108870967741936,0.6721102150537634,0.6869565217391305,44.0,27.0,0.03636459179979283,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,random_forest,scaled_dense,0.6480125743876375,0.047369987147552854,0.7798387096774194,0.6503955453149002,0.7,44.0,27.0,0.26015878340112975,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,rbf_svc,scaled_dense,0.6670517430094239,0.07109484312359908,0.7235887096774194,0.686080069124424,0.7,44.0,27.0,0.0521014832003857,5
0,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,xgboost,scaled_dense,0.6639527211256501,0.04444245606592552,0.7737903225806452,0.6678475422427035,0.7086956521739131,44.0,27.0,0.13780358340009116,5
