split_seed,target,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds,retained_rank
3,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.536788904090316,0.04127117432143321,0.4348790322580645,0.5822882007478781,0.6195087387812943,17.2,10.6,0.2810639331997663,5,2
3,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,extra_trees,unscaled_dense,0.6868333160274809,0.05687912809091013,0.6695652173913043,0.7022472551602986,0.714189891355692,22.0,14.4,0.17979341660102363,5,1
3,stage_1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.6832694250188209,0.0619905573886441,0.6608695652173913,0.6979196310935442,0.7114501653282947,13.2,10.2,0.2608937413999229,5,2
3,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,hist_gradient_boosting,native,0.723435421495014,0.0423449845592024,0.7985887096774194,0.7307229262672811,0.7565217391304347,19.8,11.0,0.27662750000017694,5,1
3,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,catboost,native,0.7050351064814848,0.054307408444946546,0.8175403225806452,0.7044844470046082,0.7478260869565218,19.8,11.0,0.14839458340065903,5,2
4,direct,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,none,all,INT_MOTOR_X_COGNITION,interaction,catboost,scaled_dense,0.5146890896409431,0.07142369927019032,0.3969758064516129,0.549015985507921,0.626452527161077,47.8,27.0,0.22792993320108507,5,1
4,direct,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,random_forest,unscaled_dense,0.51449989994279,0.041940905807160395,0.3655241935483871,0.5490717970798615,0.6250354274917336,22.6,13.0,0.2739054831996327,5,2
4,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,catboost,native,0.7004508002598232,0.05293305455750773,0.6478260869565218,0.7104281949934124,0.7335285781766652,19.6,13.8,0.13167337479972047,5,1
4,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,random_forest,unscaled_dense,0.6965035133805958,0.041229812985966355,0.6304347826086957,0.7037830478700043,0.7308171941426547,19.6,13.8,0.27802095840015684,5,2
4,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,rbf_svc,scaled_dense,0.6768006822612086,0.045509445233101346,0.730241935483871,0.6975019201228878,0.708695652173913,25.6,13.0,0.12013092480046908,5,1
4,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,random_forest,scaled_dense,0.65655879846525,0.04082093726101755,0.786491935483871,0.6618173963133641,0.708695652173913,44.8,27.0,0.2744972999993479,5,2
5,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.5314930261551049,0.041126278030891715,0.4467741935483871,0.5579694642275287,0.6469154463863959,15.6,9.2,0.30331352499997594,5,1
