system,mean_macro_f1,mean_weighted_f1,mean_accuracy,mean_balanced_accuracy,mean_macro_auc_ovr,mean_recall_no_fall,mean_recall_rare_fall,mean_recall_recurrent_fall,sd_macro_f1,sd_weighted_f1,sd_accuracy,sd_balanced_accuracy,sd_macro_auc_ovr,sd_recall_no_fall,sd_recall_rare_fall,sd_recall_recurrent_fall
direct,0.5132044517291475,0.6416176112821296,0.6240384615384615,0.5501010933968603,0.7525213278009402,0.7098130841121495,0.38382352941176473,0.5566666666666666,0.019394859290389786,0.015498709961372464,0.02198801063100182,0.030535871100021875,0.020339180319231313,0.04492074481359398,0.05602881247495658,0.10150908120582837
two_stage,0.509801320677884,0.6456011049700436,0.6358974358974359,0.538308441756765,0.7474651118696991,0.7425233644859813,0.35073529411764703,0.5216666666666667,0.01888991597997094,0.015452090296035663,0.020147944110778887,0.03582291295171823,0.029607964626179286,0.03771678493192078,0.0683592540633605,0.15867691253959856
