split_seed,system,macro_f1,weighted_f1,accuracy,balanced_accuracy,macro_auc_ovr,recall_no_fall,recall_rare_fall,recall_recurrent_fall
0,direct,0.5187357695973884,0.6401918779263627,0.6153846153846154,0.5775670392767699,0.7571991519608611,0.6728971962616822,0.4264705882352941,0.6333333333333333
0,two_stage,0.5021359820835419,0.637955729919856,0.6153846153846154,0.5212051798912711,0.7604182845757874,0.6822429906542056,0.5147058823529411,0.36666666666666664
1,direct,0.5255589044456264,0.6565874333455898,0.6410256410256411,0.5670973062122046,0.7628402411990884,0.7336448598130841,0.36764705882352944,0.6
1,two_stage,0.4993074879562069,0.6452989608514331,0.6442307692307693,0.5323468328141225,0.7641245174928164,0.780373831775701,0.25,0.5666666666666667
2,direct,0.5036970198260521,0.643978436782407,0.6282051282051282,0.5350711624213549,0.74560898046586,0.7336448598130841,0.3382352941176471,0.5333333333333333
2,two_stage,0.5166017261605497,0.6616226988823143,0.6538461538461539,0.5351139209577913,0.7274552625154199,0.7710280373831776,0.36764705882352944,0.4666666666666667
3,direct,0.507094943240454,0.6437321386044296,0.6314102564102564,0.5184808502840389,0.7231055973773269,0.7289719626168224,0.4264705882352941,0.4
3,two_stage,0.479599821149117,0.6457194018813737,0.6442307692307693,0.47598497342862384,0.6761490295980866,0.7897196261682243,0.3382352941176471,0.3
4,direct,0.5266702092680308,0.6460271685809833,0.625,0.5822399364730316,0.7467397148937452,0.6869158878504673,0.4264705882352941,0.6333333333333333
4,two_stage,0.5291993635269919,0.6477695084052052,0.6378205128205128,0.5593305234866531,0.7511367170916646,0.7289719626168224,0.38235294117647056,0.5666666666666667
5,direct,0.5262946057260186,0.6246499063701023,0.5993589743589743,0.5573605766294056,0.7761213848483862,0.6495327102803738,0.45588235294117646,0.5666666666666667
5,two_stage,0.4784299695801899,0.6270211342202102,0.6089743589743589,0.4817818092969275,0.7594709365835101,0.7149532710280374,0.39705882352941174,0.3333333333333333
6,direct,0.5102406554019457,0.6261402575918706,0.6025641025641025,0.5613035245250748,0.7509025244056001,0.6682242990654206,0.38235294117647056,0.6333333333333333
6,two_stage,0.5090455840455841,0.6413666995397765,0.625,0.5492761590617555,0.7461891180868409,0.7242990654205608,0.3235294117647059,0.6
7,direct,0.5144327639366834,0.6493849825096765,0.6282051282051282,0.5393745036955592,0.7605892370331349,0.7102803738317757,0.4411764705882353,0.4666666666666667
7,two_stage,0.5082143083440942,0.6467297813826042,0.6378205128205128,0.5211166086372244,0.7382015709840394,0.7476635514018691,0.38235294117647056,0.43333333333333335
8,direct,0.48605065914217044,0.617052243896234,0.5993589743589743,0.5239172927738073,0.7058691180890556,0.6962616822429907,0.3088235294117647,0.5666666666666667
8,two_stage,0.49588953328790736,0.6377276190284321,0.625,0.5301692016370412,0.7034212910295877,0.7336448598130841,0.3235294117647059,0.5333333333333333
9,direct,0.5100133533114286,0.6492665996093988,0.6282051282051282,0.5360301753099993,0.7570615220072434,0.7149532710280374,0.4264705882352941,0.4666666666666667
9,two_stage,0.49776882579823284,0.6536929845452432,0.6442307692307693,0.49318612180074517,0.7518070273665641,0.7570093457943925,0.45588235294117646,0.26666666666666666
10,direct,0.5320103317325294,0.6583378739466137,0.6378205128205128,0.5908557815649624,0.7868208250673113,0.719626168224299,0.35294117647058826,0.7
10,two_stage,0.5236181954866088,0.6611307541522637,0.6538461538461539,0.578577973245373,0.8088048232215023,0.7710280373831776,0.2647058823529412,0.7
11,direct,0.46853233771990016,0.6276140949625643,0.6089743589743589,0.4817818092969275,0.7293141466315816,0.7149532710280374,0.39705882352941174,0.3333333333333333
11,two_stage,0.5361800706409335,0.651660971535163,0.6410256410256411,0.582859935251359,0.7598663439658359,0.7289719626168224,0.35294117647058826,0.6666666666666666
12,direct,0.5039396465424408,0.6407703794161127,0.6217948717948718,0.548198033107324,0.7331211033183774,0.7102803738317757,0.36764705882352944,0.5666666666666667
12,two_stage,0.5405242905242905,0.663579476079476,0.6602564102564102,0.5635452935068108,0.7320237401347791,0.7710280373831776,0.35294117647058826,0.5666666666666667
13,direct,0.47669657234874624,0.628147617278052,0.6185897435897436,0.491704843931342,0.7556683579665692,0.7476635514018691,0.29411764705882354,0.43333333333333335
13,two_stage,0.48779694598751383,0.6256234484175075,0.6217948717948718,0.5214434060228452,0.7524956857535883,0.7476635514018691,0.25,0.5666666666666667
14,direct,0.5140755916773775,0.6602468082217204,0.6474358974358975,0.538687312931403,0.752088434254655,0.7523364485981309,0.39705882352941174,0.4666666666666667
14,two_stage,0.5167126288407753,0.6763277501703835,0.6826923076923077,0.5109186976971474,0.7432586553262368,0.8317757009345794,0.36764705882352944,0.3333333333333333
15,direct,0.5384564298256135,0.6535404045924968,0.6314102564102564,0.5886995296560992,0.765160620561136,0.6915887850467289,0.4411764705882353,0.6333333333333333
15,two_stage,0.5102519022393335,0.6490128364863998,0.6314102564102564,0.5590800806303831,0.7568262855634282,0.7242990654205608,0.35294117647058826,0.6
16,direct,0.5365612916240742,0.6392287538717908,0.6217948717948718,0.5835471260155152,0.7650887309552368,0.6869158878504673,0.39705882352941174,0.6666666666666666
16,two_stage,0.5009102120531016,0.6137494512016256,0.5993589743589743,0.5716846863355934,0.7450547708700169,0.6728971962616822,0.3088235294117647,0.7333333333333333
17,direct,0.5113832942161091,0.6315801959080165,0.6121794871794872,0.5440046423553845,0.739113050571559,0.6869158878504673,0.4117647058823529,0.5333333333333333
17,two_stage,0.5111809927377944,0.6388904654903651,0.6282051282051282,0.5011605888461304,0.710210347148558,0.7289719626168224,0.4411764705882353,0.3333333333333333
18,direct,0.5126885282035261,0.6185669457165236,0.5897435897435898,0.5741799523547736,0.7487475750705958,0.6401869158878505,0.38235294117647056,0.7
18,two_stage,0.5044143187151623,0.6248502903312597,0.6089743589743589,0.5696689267607354,0.7643695482739407,0.6962616822429907,0.27941176470588236,0.7333333333333333
19,direct,0.5409561267968347,0.6773081065116463,0.6923076923076923,0.5619204691222284,0.789266239341479,0.8504672897196262,0.23529411764705882,0.6
19,two_stage,0.5482442543997514,0.6622921368799819,0.6538461538461539,0.6077179158267668,0.7980182818117778,0.7476635514018691,0.3088235294117647,0.7666666666666667
