metric,mean_direct_minus_two_stage,ci95_low,ci95_high,corrected_resampled_p_value,n_outer_seeds,test_train_ratio
macro_f1,0.003403131051263453,-0.03379960359760777,0.040605865700134684,0.8501964405912824,20,0.42857142857142855
balanced_accuracy,0.011792651640095275,-0.04499760503015585,0.0685829083103464,0.6687327901631003,20,0.42857142857142855
accuracy,-0.011858974358974362,-0.038458757178793566,0.014740808460844843,0.36245924362929516,20,0.42857142857142855
recall_no_fall,-0.03271028037383177,-0.08957374106392535,0.024153180316261798,0.24337672952268632,20,0.42857142857142855
recall_rare_fall,0.03308823529411764,-0.052885846733114125,0.1190623173213494,0.430481810793854,20,0.42857142857142855
recall_recurrent_fall,0.035,-0.17124479344386775,0.24124479344386776,0.7263606223207036,20,0.42857142857142855
