model_family,grid_id,parameters
hist_gradient_boosting,13,"{""class_weight"": ""balanced"", ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}"
hist_gradient_boosting,14,"{""class_weight"": ""balanced"", ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}"
hist_gradient_boosting,15,"{""class_weight"": ""balanced"", ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}"
xgboost,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""none"", ""subsample"": 0.8}"
xgboost,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""balanced"", ""subsample"": 0.8}"
xgboost,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""sample_weight"": ""none"", ""subsample"": 0.8}"
xgboost,3,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""sample_weight"": ""balanced"", ""subsample"": 0.8}"
xgboost,4,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""none"", ""subsample"": 0.8}"
xgboost,5,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""balanced"", ""subsample"": 0.8}"
xgboost,6,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""sample_weight"": ""none"", ""subsample"": 0.8}"
xgboost,7,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 5.0, ""sample_weight"": ""balanced"", ""subsample"": 0.8}"
xgboost,8,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""none"", ""subsample"": 0.8}"
xgboost,9,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""max_depth"": 2, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""sample_weight"": ""balanced"", ""subsample"": 0.8}"
