split_seed,system,true_class,predicted_class,patients
12,two_stage,2,0,7
12,two_stage,2,1,6
12,two_stage,2,2,17
13,direct,0,0,160
13,direct,0,1,39
13,direct,0,2,15
13,direct,1,0,36
13,direct,1,1,20
13,direct,1,2,12
13,direct,2,0,4
13,direct,2,1,13
13,direct,2,2,13
13,two_stage,0,0,160
13,two_stage,0,1,35
13,two_stage,0,2,19
13,two_stage,1,0,38
13,two_stage,1,1,17
13,two_stage,1,2,13
13,two_stage,2,0,5
13,two_stage,2,1,8
13,two_stage,2,2,17
14,direct,0,0,161
14,direct,0,1,35
14,direct,0,2,18
14,direct,1,0,26
14,direct,1,1,27
14,direct,1,2,15
14,direct,2,0,8
14,direct,2,1,8
14,direct,2,2,14
14,two_stage,0,0,178
14,two_stage,0,1,27
14,two_stage,0,2,9
14,two_stage,1,0,35
14,two_stage,1,1,25
14,two_stage,1,2,8
14,two_stage,2,0,10
14,two_stage,2,1,10
14,two_stage,2,2,10
15,direct,0,0,148
15,direct,0,1,48
15,direct,0,2,18
15,direct,1,0,23
15,direct,1,1,30
15,direct,1,2,15
15,direct,2,0,2
15,direct,2,1,9
15,direct,2,2,19
15,two_stage,0,0,155
15,two_stage,0,1,34
15,two_stage,0,2,25
15,two_stage,1,0,26
15,two_stage,1,1,24
15,two_stage,1,2,18
15,two_stage,2,0,4
15,two_stage,2,1,8
15,two_stage,2,2,18
16,direct,0,0,147
16,direct,0,1,51
16,direct,0,2,16
16,direct,1,0,28
16,direct,1,1,27
16,direct,1,2,13
16,direct,2,0,4
16,direct,2,1,6
16,direct,2,2,20
16,two_stage,0,0,144
16,two_stage,0,1,40
16,two_stage,0,2,30
16,two_stage,1,0,33
16,two_stage,1,1,21
16,two_stage,1,2,14
16,two_stage,2,0,3
16,two_stage,2,1,5
16,two_stage,2,2,22
17,direct,0,0,147
17,direct,0,1,51
17,direct,0,2,16
17,direct,1,0,27
17,direct,1,1,28
17,direct,1,2,13
17,direct,2,0,6
17,direct,2,1,8
17,direct,2,2,16
17,two_stage,0,0,156
17,two_stage,0,1,53
17,two_stage,0,2,5
17,two_stage,1,0,34
17,two_stage,1,1,30
17,two_stage,1,2,4
17,two_stage,2,0,8
17,two_stage,2,1,12
17,two_stage,2,2,10
18,direct,0,0,137
18,direct,0,1,64
18,direct,0,2,13
18,direct,1,0,20
18,direct,1,1,26
18,direct,1,2,22
18,direct,2,0,3
18,direct,2,1,6
18,direct,2,2,21
18,two_stage,0,0,149
18,two_stage,0,1,47
18,two_stage,0,2,18
18,two_stage,1,0,28
18,two_stage,1,1,19
18,two_stage,1,2,21
18,two_stage,2,0,3
18,two_stage,2,1,5
18,two_stage,2,2,22
19,direct,0,0,182
19,direct,0,1,21
19,direct,0,2,11
19,direct,1,0,41
19,direct,1,1,16
19,direct,1,2,11
19,direct,2,0,4
19,direct,2,1,8
19,direct,2,2,18
19,two_stage,0,0,160
19,two_stage,0,1,39
19,two_stage,0,2,15
19,two_stage,1,0,30
19,two_stage,1,1,21
19,two_stage,1,2,17
19,two_stage,2,0,1
19,two_stage,2,1,6
19,two_stage,2,2,23
