split_seed,target,retained_rank,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,grid_id,parameters,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds
4,stage_2,1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,rbf_svc,scaled_dense,3,"{""C"": 0.1, ""class_weight"": ""balanced"", ""gamma"": 0.01}",0.6689490445827296,0.05700895840985885,0.8181451612903226,0.6709773425499233,0.7260869565217392,26.0,13.0,0.0824484331998974,5
5,direct,1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.5378258033661494,0.0593482147546377,0.4276209677419355,0.5610203610606836,0.6537364194615021,16.8,10.0,0.26189547500034677,5
5,stage_1,1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6832714885825624,0.019933071569861075,0.6304347826086957,0.6926921387790953,0.7156164383561644,15.0,10.8,0.29898046660018734,5
5,stage_2,1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,rbf_svc,scaled_dense,12,"{""C"": 10.0, ""class_weight"": null, ""gamma"": ""scale""}",0.6719172409119855,0.07025869651863638,0.89375,0.6583035714285714,0.7478260869565218,9.4,7.2,0.1451550000005227,5
6,direct,1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.5449392703962845,0.045246622511034215,0.4461693548387097,0.5715658311222828,0.6442324043457723,30.2,20.4,0.40264902519993484,5
6,stage_1,2,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,extra_trees,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6851010503909774,0.0336439079147638,0.6521739130434783,0.6975819060166886,0.7142465753424657,23.2,16.2,0.1766097832005471,5
6,stage_2,2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6879148061772419,0.07346512538472844,0.8106854838709678,0.6867713133640553,0.7347826086956522,18.2,14.0,0.3203252584004076,5
7,direct,1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,7,"{""class_weight"": ""balanced"", ""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.5248642883312238,0.041332473421471276,0.4272177419354839,0.5540153415879223,0.6332357109116675,15.2,10.6,0.274508399800834,5
7,stage_1,1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,rbf_svc,scaled_dense,7,"{""C"": 1.0, ""class_weight"": ""balanced"", ""gamma"": ""scale""}",0.6910666190615691,0.026694818840668384,0.6782608695652174,0.7065950812472551,0.7170429853566367,47.8,27.0,0.03184429159955471,5
7,stage_2,1,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,random_forest,scaled_dense,5,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.6767100012463491,0.060661755628504704,0.8175403225806452,0.6768653993855607,0.7304347826086957,45.2,27.0,0.16095234180029366,5
