seed,s1_winner,s2_winner,direct_winner,two_stage_f1_macro,direct_f1_macro,dummy_f1_macro,two_stage_accuracy,direct_accuracy,two_stage_f1_weighted,direct_f1_weighted,two_stage_auc,direct_auc,two_stage_recall_none,two_stage_recall_rare,two_stage_recall_recurrent,direct_recall_none,direct_recall_rare,direct_recall_recurrent,s1_cv_macro_f1,s2_cv_macro_f1,direct_cv_macro_f1
0,Random Forest,Random Forest,Random Forest,0.5052586057775471,0.511673478046145,0.2712294043092522,0.6410256410256411,0.6217948717948718,0.6483274120793582,0.638483031977916,0.7465774212870354,0.7473870052642523,0.7570093457943925,0.2647058823529412,0.6666666666666666,0.705607476635514,0.3235294117647059,0.7,0.6975862596812145,0.679734862595032,0.518617073201732
1,Random Forest,Random Forest,Random Forest,0.4837235703136087,0.49946203836811437,0.2712294043092522,0.657051282051282,0.6282051282051282,0.6438189737040312,0.6426987518231877,0.7489623580160325,0.7494418725460369,0.822429906542056,0.17647058823529413,0.5666666666666667,0.7383177570093458,0.3088235294117647,0.5666666666666667,0.7017792576139212,0.7020552354451949,0.5263489095015442
2,Random Forest,Random Forest,Random Forest,0.5124047857817958,0.5228224189104385,0.2712294043092522,0.6891025641025641,0.657051282051282,0.6801658196146675,0.6697550328592269,0.7463824176629402,0.7718992962967114,0.8551401869158879,0.27941176470588236,0.43333333333333335,0.7663551401869159,0.39705882352941174,0.4666666666666667,0.6802908605900815,0.675372190070466,0.5263617433580059
3,Random Forest,LightGBM,Random Forest,0.50471399799758,0.49996101133632415,0.2712294043092522,0.6762820512820513,0.6410256410256411,0.6641001294703935,0.6528050388387073,0.7073584145455442,0.7228851197401416,0.8457943925233645,0.23529411764705882,0.4666666666666667,0.7570093457943925,0.38235294117647056,0.4,0.7040085933441517,0.7023319766785668,0.5472333480829474
4,Random Forest,Random Forest,Random Forest,0.5070301340033666,0.4880968902350524,0.2712294043092522,0.6538461538461539,0.6185897435897436,0.6548201220473012,0.6272749730925203,0.7401790754973868,0.7398562412391979,0.7897196261682243,0.27941176470588236,0.5333333333333333,0.7336448598130841,0.25,0.6333333333333333,0.6935790102218894,0.6828291796881898,0.5394138363226659
