split_seed,target,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,inner_folds,mean_delta_macro_f1,improving_folds,mean_delta_priority_recall,eligible_to_advance,retained_rank
3,stage_1,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6841433484391455,0.04831617043995925,0.6652173913043479,0.6990834431269214,0.7114690599905527,13.4,10.4,5,,,,True,2
3,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6846893847665786,0.028867362452787405,0.7479838709677419,0.6973252688172042,0.717391304347826,19.8,11.2,5,,,,True,1
3,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6847637642637086,0.028768066256502346,0.729233870967742,0.7022359831029186,0.7130434782608696,24.0,13.0,5,,,,True,2
4,direct,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.519042698144508,0.06964218055045233,0.3336693548387097,0.5762312952877469,0.6292017005196032,21.8,13.0,5,,,,True,1
4,direct,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,0.5102534669362649,0.0532641917790616,0.3024193548387097,0.5623379571444087,0.6319414265470005,47.8,47.8,5,0.012066947289518338,3.0,0.01875,True,2
4,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.6875586417800136,0.05070701378647937,0.6608695652173913,0.7009701361440491,0.7157298063297118,19.6,13.8,5,,,,True,1
4,stage_1,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,0.6912889080881639,0.059693997371136585,0.6565217391304348,0.703806324110672,0.7212187057156354,47.8,47.8,5,0.021136016449165317,4.0,0.04347826086956523,True,2
4,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6764621893071552,0.0347715893238175,0.7366935483870968,0.6931086789554531,0.7086956521739131,24.2,13.0,5,,,,True,1
4,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.6705630815544609,0.05271485091277964,0.736491935483871,0.6853888248847927,0.7043478260869566,44.8,44.8,5,0.010079611740756023,3.0,-0.00625,True,2
5,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.5226636620626672,0.05167574880421507,0.35181451612903225,0.5627722268770656,0.6358904109589041,24.2,18.4,5,,,,True,1
