split_seed,target,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,inner_folds,mean_delta_macro_f1,improving_folds,mean_delta_priority_recall,eligible_to_advance
0,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6554011022768155,0.042678213189587824,0.7110887096774194,0.6722110215053763,0.6869565217391305,25.8,13.0,5,,,,True
0,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6490934177797157,0.043466988059158704,0.7108870967741936,0.6659197388632873,0.682608695652174,19.8,9.8,5,,,,True
1,direct,SEL_01,raw__none__all,selector_configuration,final_26,none,all,,raw,logistic,0.4680591588389424,0.04732499764417791,0.35181451612903225,0.5078390859439247,0.5644969296173831,46.8,26.0,5,,,,True
1,direct,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,logistic,0.4831150519971688,0.044386727865066505,0.36431451612903226,0.5264588550636937,0.5878412848370336,27.2,19.4,5,,,,True
1,direct,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.4864735071180585,0.06683628462551974,0.36451612903225805,0.5317372185759283,0.5837033538025508,34.6,21.2,5,,,,True
1,direct,SEL_04,raw__l1__C=1.0,selector_configuration,final_26,l1,C=1.0,,raw,logistic,0.4680591588389424,0.04732499764417791,0.35181451612903225,0.5078390859439247,0.5644969296173831,46.8,26.0,5,,,,True
1,direct,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.5054916911187018,0.02431733105892145,0.3084677419354839,0.556567650390231,0.6264052905054323,46.8,26.0,5,,,,True
1,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.5248831143938097,0.01480847754052584,0.3461693548387097,0.5921170576735093,0.6236372224846481,27.2,19.4,5,,,,True
1,direct,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.5075063807223004,0.043620560171857344,0.32016129032258067,0.5592072025942993,0.6181105337742088,22.8,13.0,5,,,,True
1,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.5244367584937532,0.024384003277162176,0.37076612903225803,0.5877358958246055,0.6194615021256495,15.2,9.6,5,,,,True
1,stage_1,SEL_01,raw__none__all,selector_configuration,final_26,none,all,,raw,logistic,0.6581028705797057,0.040057434604635074,0.6217391304347826,0.6703140096618357,0.688181388757676,46.8,26.0,5,,,,True
1,stage_1,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,logistic,0.6578900114386559,0.03948977785956519,0.6304347826086956,0.6716820377689943,0.6868398677373642,26.6,19.2,5,,,,True
1,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.6579865164806367,0.03421067745157784,0.6304347826086956,0.6716719367588933,0.6868209730751063,20.0,14.2,5,,,,True
1,stage_1,SEL_04,raw__l1__C=1.0,selector_configuration,final_26,l1,C=1.0,,raw,logistic,0.6581028705797057,0.040057434604635074,0.6217391304347826,0.6703140096618357,0.688181388757676,44.2,24.6,5,,,,True
1,stage_1,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.6791761953670288,0.03992295982166142,0.6391304347826087,0.6901207729468599,0.7088615965989608,46.8,26.0,5,,,,True
