target,group,label,final_model_uses,outer_refits_selected,outer_refits,mean_drop_macro_f1,mean_drop_rare_fall_recall,sd_drop_macro_f1,sd_drop_rare_fall_recall
stage_2,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",True,20,20,0.09865866025267403,-0.011497584541062814,0.03601696254495166,0.03687416227835299
stage_2,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),True,20,20,0.08026320635472012,-0.021700483091787466,0.0245437930189539,0.02536941239654985
stage_2,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),True,19,20,0.05135262000766898,-0.011439613526570058,0.023918347183902615,0.02499425591552587
stage_2,Years_since_PD_diagnosis,Years since PD diagnosis,True,19,20,0.03171291341754923,-0.01936231884057972,0.03623121737855792,0.00945666210000657
stage_2,NHY_COMBINED_MAX,Hoehn and Yahr stage,True,20,20,0.025919751161503368,-0.004850241545893745,0.03839387031272053,0.017087032324777648
stage_2,ANYFAMPD,Family history of PD,True,13,20,0.025043656610657862,-0.011642512077294711,0.04239644383649575,0.02333318330434561
stage_2,DOMSIDE,Dominant side at diagnosis,True,10,20,0.018644073768867633,0.002985507246376802,0.011397568909320635,0.019673357732159346
stage_2,NP1RTOT,MDS-UPDRS Part I rater total,False,11,20,0.009268026595922716,-0.007120772946859914,0.011666256454914892,0.017163619628039632
stage_2,SCAU14,Lightheadedness on standing up (SCOPA-AUT),True,18,20,0.007151605275331342,-0.006164251207729477,0.023600511695372122,0.0122715584035202
stage_2,FEATPOSHYP,Symptomatic orthostatic hypotension documented,True,8,20,0.006449478610136708,-0.003990338164251213,0.017208427168702793,0.006557924306556925
stage_2,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),True,18,20,0.005378869900558021,-0.01057004830917875,0.02711775716598131,0.020384481437583722
stage_2,NP1URIN,Urinary problems,True,16,20,0.002796312135378376,-0.0008985507246376834,0.022117854121592322,0.00335906889410276
stage_2,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),True,18,20,0.0027720577186206978,-0.0062318840579710395,0.01976181014101387,0.023774104740186208
stage_2,Age,Age,False,4,20,0.0,0.0,0.0,0.0
stage_2,DXPOSINS,Postural instability at diagnosis,False,4,20,0.0,0.0,0.0,0.0
stage_2,MCATOT,MoCA total (cognition),False,4,20,0.0,0.0,0.0,0.0
stage_2,SCAU16,Fainting in preceding six months (SCOPA-AUT),False,4,20,0.0,0.0,0.0,0.0
stage_2,GDS_TOTAL,Geriatric Depression Scale total,False,10,20,0.0,0.0,0.0,0.0
stage_2,BMI,Body mass index,False,4,20,0.0,0.0,0.0,0.0
stage_2,NP1SLPD,Daytime sleepiness,False,11,20,0.0,0.0,0.0,0.0
stage_2,NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,False,8,20,0.0,0.0,0.0,0.0
stage_2,DXTREMOR,Tremor at diagnosis,False,5,20,0.0,0.0,0.0,0.0
stage_2,DXBRADY,Bradykinesia at diagnosis,False,6,20,0.0,0.0,0.0,0.0
stage_2,NP1CNST,Constipation,False,6,20,0.0,0.0,0.0,0.0
stage_2,DOPTHERST,Dopaminergic therapy started,True,7,20,-0.0005709117611081546,-0.0004734299516908248,0.010543306243541174,0.007416867165535023
stage_2,DXRIGID,Rigidity at diagnosis,False,5,20,-0.006110951878408346,-0.0017777777777777826,0.01366450380735109,0.003975231959999637
