inner_validation_fold,group,model,metric,mean_drop
0,BMI,stage_1,macro_f1,0.0
0,BMI,stage_2,macro_f1,0.0
0,BMI,stage_2,rare_fall_recall,0.0
0,NP1SLPD,direct_system,macro_f1,0.00874848256032661
0,NP1SLPD,direct_system,rare_fall_recall,0.00888888888888888
0,NP1SLPD,two_stage_system,macro_f1,-0.004664928583033645
0,NP1SLPD,two_stage_system,rare_fall_recall,-0.002222222222222231
0,NP1SLPD,stage_1,macro_f1,-0.007465470433567345
0,NP1SLPD,stage_2,macro_f1,0.0
0,NP1SLPD,stage_2,rare_fall_recall,0.0
0,NP1URIN,direct_system,macro_f1,0.01837645123709749
0,NP1URIN,direct_system,rare_fall_recall,0.022222222222222216
0,NP1URIN,two_stage_system,macro_f1,0.027644591982780898
0,NP1URIN,two_stage_system,rare_fall_recall,0.013333333333333326
0,NP1URIN,stage_1,macro_f1,-0.004466424287197313
0,NP1URIN,stage_2,macro_f1,0.04008740158245472
0,NP1URIN,stage_2,rare_fall_recall,0.0
0,NP3GAIT_COMBINED_MAX,direct_system,macro_f1,-0.001569893399957867
0,NP3GAIT_COMBINED_MAX,direct_system,rare_fall_recall,-0.013333333333333341
0,NP3GAIT_COMBINED_MAX,two_stage_system,macro_f1,0.023102253029932886
0,NP3GAIT_COMBINED_MAX,two_stage_system,rare_fall_recall,-0.008888888888888908
0,NP3GAIT_COMBINED_MAX,stage_1,macro_f1,-2.8919975009455977e-05
0,NP3GAIT_COMBINED_MAX,stage_2,macro_f1,0.047564597062031214
0,NP3GAIT_COMBINED_MAX,stage_2,rare_fall_recall,0.015555555555555578
0,NP3PSTBL_COMBINED_MAX,direct_system,macro_f1,-0.006182672320350735
0,NP3PSTBL_COMBINED_MAX,direct_system,rare_fall_recall,0.011111111111111105
0,NP3PSTBL_COMBINED_MAX,two_stage_system,macro_f1,-0.016963156906064137
0,NP3PSTBL_COMBINED_MAX,two_stage_system,rare_fall_recall,-0.04222222222222223
0,NP3PSTBL_COMBINED_MAX,stage_1,macro_f1,-0.002439266074630975
0,NP3PSTBL_COMBINED_MAX,stage_2,macro_f1,-0.02334407455825025
0,NP3PSTBL_COMBINED_MAX,stage_2,rare_fall_recall,-0.008888888888888901
0,NHY_COMBINED_MAX,direct_system,macro_f1,-0.007768029573203461
0,NHY_COMBINED_MAX,direct_system,rare_fall_recall,-0.053333333333333344
0,NHY_COMBINED_MAX,two_stage_system,macro_f1,-0.013588917891192742
0,NHY_COMBINED_MAX,two_stage_system,rare_fall_recall,-0.026666666666666682
0,NHY_COMBINED_MAX,stage_1,macro_f1,0.0018330490662741838
0,NHY_COMBINED_MAX,stage_2,macro_f1,-0.0237474113860759
0,NHY_COMBINED_MAX,stage_2,rare_fall_recall,-0.020000000000000028
0,FEATPOSHYP,direct_system,macro_f1,-0.001814417083287001
0,FEATPOSHYP,direct_system,rare_fall_recall,-0.006666666666666682
0,FEATPOSHYP,two_stage_system,macro_f1,-4.925193218545676e-05
0,FEATPOSHYP,two_stage_system,rare_fall_recall,-0.020000000000000018
0,FEATPOSHYP,stage_1,macro_f1,0.007622881588085506
0,FEATPOSHYP,stage_2,macro_f1,0.0011670119746460372
0,FEATPOSHYP,stage_2,rare_fall_recall,-0.0022222222222222253
0,NP3TOT_COMBINED_MAX,direct_system,macro_f1,0.010570876069799673
0,NP3TOT_COMBINED_MAX,direct_system,rare_fall_recall,0.022222222222222206
0,NP3TOT_COMBINED_MAX,two_stage_system,macro_f1,-0.004283518877447878
0,NP3TOT_COMBINED_MAX,two_stage_system,rare_fall_recall,-0.008888888888888901
0,NP3TOT_COMBINED_MAX,stage_1,macro_f1,-0.0056232551718296666
0,NP3TOT_COMBINED_MAX,stage_2,macro_f1,0.0
0,NP3TOT_COMBINED_MAX,stage_2,rare_fall_recall,0.0
0,GROUP_PART_IV_FORM,direct_system,macro_f1,0.0008899144211436561
0,GROUP_PART_IV_FORM,direct_system,rare_fall_recall,-0.05333333333333333
0,GROUP_PART_IV_FORM,two_stage_system,macro_f1,0.05952974265585429
0,GROUP_PART_IV_FORM,two_stage_system,rare_fall_recall,0.02888888888888888
0,GROUP_PART_IV_FORM,stage_1,macro_f1,0.006225503093530771
0,GROUP_PART_IV_FORM,stage_2,macro_f1,0.0740593114768284
0,GROUP_PART_IV_FORM,stage_2,rare_fall_recall,0.0
0,ANYFAMPD,direct_system,macro_f1,-0.006044941310360263
0,ANYFAMPD,direct_system,rare_fall_recall,-0.03555555555555557
0,ANYFAMPD,two_stage_system,macro_f1,0.022119184093599087
0,ANYFAMPD,two_stage_system,rare_fall_recall,-0.008888888888888901
0,ANYFAMPD,stage_1,macro_f1,0.008896129681540499
0,ANYFAMPD,stage_2,macro_f1,0.027000621291335736
0,ANYFAMPD,stage_2,rare_fall_recall,-0.015555555555555578
0,DXTREMOR,direct_system,macro_f1,0.0
0,DXTREMOR,direct_system,rare_fall_recall,0.0
0,DXTREMOR,two_stage_system,macro_f1,0.0
0,DXTREMOR,two_stage_system,rare_fall_recall,0.0
0,DXTREMOR,stage_1,macro_f1,0.0
0,DXTREMOR,stage_2,macro_f1,0.0
0,DXTREMOR,stage_2,rare_fall_recall,0.0
0,DXBRADY,direct_system,macro_f1,0.0
0,DXBRADY,direct_system,rare_fall_recall,0.0
0,DXBRADY,two_stage_system,macro_f1,0.0
0,DXBRADY,two_stage_system,rare_fall_recall,0.0
0,DXBRADY,stage_1,macro_f1,0.0
0,DXBRADY,stage_2,macro_f1,0.0
0,DXBRADY,stage_2,rare_fall_recall,0.0
0,DOMSIDE,direct_system,macro_f1,0.0
0,DOMSIDE,direct_system,rare_fall_recall,0.0
0,DOMSIDE,two_stage_system,macro_f1,0.017662053329434758
0,DOMSIDE,two_stage_system,rare_fall_recall,0.00444444444444444
0,DOMSIDE,stage_1,macro_f1,0.0
0,DOMSIDE,stage_2,macro_f1,0.03656637829008182
0,DOMSIDE,stage_2,rare_fall_recall,0.015555555555555578
0,NP1CNST,direct_system,macro_f1,0.03607118883079859
0,NP1CNST,direct_system,rare_fall_recall,0.08888888888888888
0,NP1CNST,two_stage_system,macro_f1,0.011926000768831591
0,NP1CNST,two_stage_system,rare_fall_recall,0.046666666666666655
0,NP1CNST,stage_1,macro_f1,0.012562015192254427
0,NP1CNST,stage_2,macro_f1,0.0
0,NP1CNST,stage_2,rare_fall_recall,0.0
1,GROUP_NEUROQOL_FORM,direct_system,macro_f1,0.010809501851926506
1,GROUP_NEUROQOL_FORM,direct_system,rare_fall_recall,-0.06000000000000001
1,GROUP_NEUROQOL_FORM,two_stage_system,macro_f1,0.03421834710108428
1,GROUP_NEUROQOL_FORM,two_stage_system,rare_fall_recall,0.02222222222222219
1,GROUP_NEUROQOL_FORM,stage_1,macro_f1,-0.0063895279469271095
1,GROUP_NEUROQOL_FORM,stage_2,macro_f1,0.07253764887907377
1,GROUP_NEUROQOL_FORM,stage_2,rare_fall_recall,0.004444444444444429
1,Years_since_PD_diagnosis,direct_system,macro_f1,-0.013187042649228509
1,Years_since_PD_diagnosis,direct_system,rare_fall_recall,-0.0977777777777778
1,Years_since_PD_diagnosis,two_stage_system,macro_f1,0.01053062505060729
1,Years_since_PD_diagnosis,two_stage_system,rare_fall_recall,-0.01555555555555559
1,Years_since_PD_diagnosis,stage_1,macro_f1,-0.016827033174345817
1,Years_since_PD_diagnosis,stage_2,macro_f1,0.0428701207449982
1,Years_since_PD_diagnosis,stage_2,rare_fall_recall,-0.02888888888888893
1,Age,direct_system,macro_f1,0.019791053968513456
1,Age,direct_system,rare_fall_recall,0.05999999999999996
1,Age,two_stage_system,macro_f1,-0.0003446454278110189
1,Age,two_stage_system,rare_fall_recall,0.039999999999999966
1,Age,stage_1,macro_f1,-0.005192123461240839
1,Age,stage_2,macro_f1,0.0
1,Age,stage_2,rare_fall_recall,0.0
1,DXPOSINS,direct_system,macro_f1,0.0
1,DXPOSINS,direct_system,rare_fall_recall,0.0
1,DXPOSINS,two_stage_system,macro_f1,0.0
1,DXPOSINS,two_stage_system,rare_fall_recall,0.0
1,DXPOSINS,stage_1,macro_f1,0.0
1,DXPOSINS,stage_2,macro_f1,0.0
1,DXPOSINS,stage_2,rare_fall_recall,0.0
1,DXRIGID,direct_system,macro_f1,0.0
1,DXRIGID,direct_system,rare_fall_recall,0.0
1,DXRIGID,two_stage_system,macro_f1,-0.0177484096328688
1,DXRIGID,two_stage_system,rare_fall_recall,-0.008888888888888908
1,DXRIGID,stage_1,macro_f1,0.0
1,DXRIGID,stage_2,macro_f1,-0.03055475939204173
1,DXRIGID,stage_2,rare_fall_recall,-0.008888888888888913
1,DOPTHERST,direct_system,macro_f1,-0.0002909017654680546
1,DOPTHERST,direct_system,rare_fall_recall,-0.006666666666666677
1,DOPTHERST,two_stage_system,macro_f1,-0.0005425056290933594
1,DOPTHERST,two_stage_system,rare_fall_recall,-0.006666666666666677
1,DOPTHERST,stage_1,macro_f1,-5.715858952340946e-05
1,DOPTHERST,stage_2,macro_f1,0.0
1,DOPTHERST,stage_2,rare_fall_recall,0.0
1,MCATOT,direct_system,macro_f1,-0.025803564567949855
1,MCATOT,direct_system,rare_fall_recall,-0.06666666666666668
1,MCATOT,two_stage_system,macro_f1,-0.010062045040140877
1,MCATOT,two_stage_system,rare_fall_recall,0.0
1,MCATOT,stage_1,macro_f1,-0.010450113418471896
1,MCATOT,stage_2,macro_f1,0.0
1,MCATOT,stage_2,rare_fall_recall,0.0
1,GROUP_FREEZING_FORM,direct_system,macro_f1,-0.0009456720217799863
1,GROUP_FREEZING_FORM,direct_system,rare_fall_recall,-0.09333333333333335
1,GROUP_FREEZING_FORM,two_stage_system,macro_f1,0.03562510719927195
1,GROUP_FREEZING_FORM,two_stage_system,rare_fall_recall,-0.031111111111111145
1,GROUP_FREEZING_FORM,stage_1,macro_f1,-0.008843727530991875
1,GROUP_FREEZING_FORM,stage_2,macro_f1,0.0766044521297803
1,GROUP_FREEZING_FORM,stage_2,rare_fall_recall,-0.04888888888888895
1,SCAU14,direct_system,macro_f1,0.006389161026182305
1,SCAU14,direct_system,rare_fall_recall,-0.008888888888888908
1,SCAU14,two_stage_system,macro_f1,-0.013611165311599971
1,SCAU14,two_stage_system,rare_fall_recall,-1.6653345369377347e-17
1,SCAU14,stage_1,macro_f1,-0.001959685381169518
1,SCAU14,stage_2,macro_f1,-0.022059061095458743
1,SCAU14,stage_2,rare_fall_recall,0.004444444444444429
1,SCAU16,direct_system,macro_f1,-0.007865493422173025
1,SCAU16,direct_system,rare_fall_recall,-0.017777777777777788
1,SCAU16,two_stage_system,macro_f1,-0.0029405368685307743
1,SCAU16,two_stage_system,rare_fall_recall,0.0
1,SCAU16,stage_1,macro_f1,-0.0047076405364816385
1,SCAU16,stage_2,macro_f1,0.0
1,SCAU16,stage_2,rare_fall_recall,0.0
1,GDS_TOTAL,direct_system,macro_f1,-0.004069629382506245
1,GDS_TOTAL,direct_system,rare_fall_recall,-0.022222222222222233
1,GDS_TOTAL,two_stage_system,macro_f1,-0.007229536288032412
1,GDS_TOTAL,two_stage_system,rare_fall_recall,-0.0022222222222222365
1,GDS_TOTAL,stage_1,macro_f1,-0.011298179132995667
1,GDS_TOTAL,stage_2,macro_f1,0.0
1,GDS_TOTAL,stage_2,rare_fall_recall,0.0
1,NP1RTOT,direct_system,macro_f1,-0.020525200477348664
1,NP1RTOT,direct_system,rare_fall_recall,-0.08222222222222224
1,NP1RTOT,two_stage_system,macro_f1,0.0002788772869235678
1,NP1RTOT,two_stage_system,rare_fall_recall,-0.008888888888888901
1,NP1RTOT,stage_1,macro_f1,-0.012062084253783934
1,NP1RTOT,stage_2,macro_f1,0.014966238417649425
1,NP1RTOT,stage_2,rare_fall_recall,0.0
1,BMI,direct_system,macro_f1,0.0
1,BMI,direct_system,rare_fall_recall,0.0
1,BMI,two_stage_system,macro_f1,0.0
1,BMI,two_stage_system,rare_fall_recall,0.0
1,BMI,stage_1,macro_f1,0.0
1,BMI,stage_2,macro_f1,0.0
1,BMI,stage_2,rare_fall_recall,0.0
1,NP1SLPD,direct_system,macro_f1,0.006921640907085585
1,NP1SLPD,direct_system,rare_fall_recall,0.011111111111111094
