model,metric,group,mean_drop,sd_drop,folds_positive,label
stage_1,macro_f1,DXRIGID,0.0,0.0,0,Rigidity at diagnosis
stage_1,macro_f1,DXTREMOR,0.0,0.0,0,Tremor at diagnosis
stage_1,macro_f1,FEATPOSHYP,-0.0011982508199596122,0.006283877019089652,1,Symptomatic orthostatic hypotension documented
stage_1,macro_f1,GDS_TOTAL,-0.0057272242609770745,0.006274115658153972,1,Geriatric Depression Scale total
stage_1,macro_f1,GROUP_FREEZING_FORM,-0.002875033352086718,0.00872627622429036,2,"Freezing of gait, preceding 12 months"
stage_1,macro_f1,GROUP_NEUROQOL_FORM,0.0041446527266163265,0.011269800782518795,3,Neuro-QoL Gaussian mobility score (8 items)
stage_1,macro_f1,GROUP_PART_IV_FORM,-0.0042051643456412525,0.010376720329980318,2,MDS-UPDRS Part IV total (motor complications)
stage_1,macro_f1,MCATOT,-0.00429881938805271,0.007227001417006216,1,MoCA total (cognition)
stage_1,macro_f1,NHY_COMBINED_MAX,-0.001620769364909698,0.004220860010811,2,Hoehn and Yahr stage
stage_1,macro_f1,NP1CNST,0.0018454359925506498,0.011521899660767406,4,Constipation
stage_1,macro_f1,NP1RTOT,-0.00935121728022719,0.0045039957318527765,0,MDS-UPDRS Part I rater total
stage_1,macro_f1,NP1SLPD,-0.004493397451361658,0.007198547822895727,1,Daytime sleepiness
stage_1,macro_f1,NP1URIN,-0.0036442128449741132,0.006745413973234142,1,Urinary problems
stage_1,macro_f1,NP3GAIT_COMBINED_MAX,-0.001573629712462172,0.008254490045869946,1,Gait (MDS-UPDRS Part III)
stage_1,macro_f1,NP3PSTBL_COMBINED_MAX,0.0017881584491533382,0.00628767379331435,2,Postural stability (MDS-UPDRS Part III)
stage_1,macro_f1,NP3TOT_COMBINED_MAX,-0.008689260310908846,0.011324142915135265,1,MDS-UPDRS Part III motor total
stage_1,macro_f1,SCAU14,-0.0031988864742639777,0.0034197435185757204,1,Lightheadedness on standing up (SCOPA-AUT)
stage_1,macro_f1,SCAU16,6.208330136069808e-05,0.003695942636946249,2,Fainting in preceding six months (SCOPA-AUT)
stage_1,macro_f1,Years_since_PD_diagnosis,-0.005452512633311089,0.00981765839995779,1,Years since PD diagnosis
stage_2,macro_f1,ANYFAMPD,0.025043656610657862,0.04239644383649575,3,Family history of PD
stage_2,macro_f1,Age,0.0,0.0,0,Age
stage_2,macro_f1,BMI,0.0,0.0,0,Body mass index
stage_2,macro_f1,DOMSIDE,0.018644073768867633,0.011397568909320635,5,Dominant side at diagnosis
stage_2,macro_f1,DOPTHERST,-0.0005709117611081546,0.010543306243541174,2,Dopaminergic therapy started
